areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000004,East Midlands,region,2023-04-13,1259,,,
E12000004,East Midlands,region,2023-04-12,0,,0,-301
E12000004,East Midlands,region,2023-04-11,0,,0,-27
E12000004,East Midlands,region,2023-04-10,0,8,0,-51
E12000004,East Midlands,region,2023-04-09,0,4,0,-499
E12000004,East Midlands,region,2023-04-08,0,2,0,0
E12000004,East Midlands,region,2023-04-07,0,6,0,0
E12000004,East Midlands,region,2023-04-06,1707,11,0,-155
E12000004,East Midlands,region,2023-04-05,0,9,0,-196
E12000004,East Midlands,region,2023-04-04,0,10,0,-200
E12000004,East Midlands,region,2023-04-03,0,7,11,-24
E12000004,East Midlands,region,2023-04-02,0,8,0,-330
E12000004,East Midlands,region,2023-04-01,0,10,0,0
E12000004,East Midlands,region,2023-03-31,0,10,0,0
E12000004,East Midlands,region,2023-03-30,2213,9,0,-128
E12000004,East Midlands,region,2023-03-29,0,8,0,-126
E12000004,East Midlands,region,2023-03-28,0,18,0,-286
E12000004,East Midlands,region,2023-03-27,0,13,0,-39
E12000004,East Midlands,region,2023-03-26,0,5,0,-380
E12000004,East Midlands,region,2023-03-25,0,13,0,0
E12000004,East Midlands,region,2023-03-24,0,12,0,0
E12000004,East Midlands,region,2023-03-23,2509,15,0,-232
E12000004,East Midlands,region,2023-03-22,0,10,0,-217
E12000004,East Midlands,region,2023-03-21,0,14,0,-327
E12000004,East Midlands,region,2023-03-20,0,13,0,0
E12000004,East Midlands,region,2023-03-19,0,7,0,-672
E12000004,East Midlands,region,2023-03-18,0,15,0,0
E12000004,East Midlands,region,2023-03-17,0,12,0,0
E12000004,East Midlands,region,2023-03-16,2518,16,0,0
E12000004,East Midlands,region,2023-03-15,0,12,0,0
E12000004,East Midlands,region,2023-03-14,0,15,0,-306
E12000004,East Midlands,region,2023-03-13,0,15,0,-52
E12000004,East Midlands,region,2023-03-12,0,6,0,-396
E12000004,East Midlands,region,2023-03-11,0,16,0,0
E12000004,East Midlands,region,2023-03-10,0,18,0,0
E12000004,East Midlands,region,2023-03-09,2229,11,0,-191
E12000004,East Midlands,region,2023-03-08,0,9,0,-147
E12000004,East Midlands,region,2023-03-07,0,13,0,-309
E12000004,East Midlands,region,2023-03-06,0,10,0,-70
E12000004,East Midlands,region,2023-03-05,0,11,0,-382
E12000004,East Midlands,region,2023-03-04,0,10,0,0
E12000004,East Midlands,region,2023-03-03,0,8,0,0
E12000004,East Midlands,region,2023-03-02,2227,12,0,-203
E12000004,East Midlands,region,2023-03-01,0,11,0,-270
E12000004,East Midlands,region,2023-02-28,0,11,0,-120
E12000004,East Midlands,region,2023-02-27,0,12,0,-48
E12000004,East Midlands,region,2023-02-26,0,13,0,-403
E12000004,East Midlands,region,2023-02-25,0,14,0,0
E12000004,East Midlands,region,2023-02-24,0,13,0,0
E12000004,East Midlands,region,2023-02-23,2247,6,0,-170
E12000004,East Midlands,region,2023-02-22,0,8,0,-134
E12000004,East Midlands,region,2023-02-21,0,5,0,-299
E12000004,East Midlands,region,2023-02-20,0,9,0,0
E12000004,East Midlands,region,2023-02-19,0,9,0,-562
E12000004,East Midlands,region,2023-02-18,0,12,0,0
E12000004,East Midlands,region,2023-02-17,0,11,0,0
E12000004,East Midlands,region,2023-02-16,2056,8,0,-190
E12000004,East Midlands,region,2023-02-15,0,6,0,-143
E12000004,East Midlands,region,2023-02-14,0,7,0,-226
E12000004,East Midlands,region,2023-02-13,0,8,0,-51
E12000004,East Midlands,region,2023-02-12,0,6,0,-91
E12000004,East Midlands,region,2023-02-11,0,8,0,0
E12000004,East Midlands,region,2023-02-10,0,11,0,0
E12000004,East Midlands,region,2023-02-09,1688,10,0,-175
E12000004,East Midlands,region,2023-02-08,0,8,0,0
E12000004,East Midlands,region,2023-02-07,0,10,0,0
E12000004,East Midlands,region,2023-02-06,0,10,0,0
E12000004,East Midlands,region,2023-02-05,0,7,0,0
E12000004,East Midlands,region,2023-02-04,0,6,0,0
E12000004,East Midlands,region,2023-02-03,0,7,0,0
E12000004,East Midlands,region,2023-02-02,1479,7,0,-114
E12000004,East Midlands,region,2023-02-01,0,7,0,-82
E12000004,East Midlands,region,2023-01-31,0,6,0,-211
E12000004,East Midlands,region,2023-01-30,0,8,0,8
E12000004,East Midlands,region,2023-01-29,0,7,0,-331
E12000004,East Midlands,region,2023-01-28,0,9,0,0
E12000004,East Midlands,region,2023-01-27,0,12,0,0
E12000004,East Midlands,region,2023-01-26,1184,7,0,-105
E12000004,East Midlands,region,2023-01-25,0,8,0,-95
E12000004,East Midlands,region,2023-01-24,0,7,0,-197
E12000004,East Midlands,region,2023-01-23,0,7,0,-6
E12000004,East Midlands,region,2023-01-22,0,7,0,-349
