areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000006,East of England,region,2023-04-13,1366,,,
E12000006,East of England,region,2023-04-12,0,,0,-338
E12000006,East of England,region,2023-04-11,0,,0,-48
E12000006,East of England,region,2023-04-10,0,3,0,-38
E12000006,East of England,region,2023-04-09,0,3,0,-492
E12000006,East of England,region,2023-04-08,0,7,0,0
E12000006,East of England,region,2023-04-07,0,4,0,0
E12000006,East of England,region,2023-04-06,2030,10,0,-100
E12000006,East of England,region,2023-04-05,0,6,0,-167
E12000006,East of England,region,2023-04-04,0,8,0,-190
E12000006,East of England,region,2023-04-03,0,13,23,-19
E12000006,East of England,region,2023-04-02,0,12,0,-489
E12000006,East of England,region,2023-04-01,0,9,0,0
E12000006,East of England,region,2023-03-31,0,9,0,0
E12000006,East of England,region,2023-03-30,2592,14,0,-163
E12000006,East of England,region,2023-03-29,0,12,0,-171
E12000006,East of England,region,2023-03-28,0,12,0,-276
E12000006,East of England,region,2023-03-27,0,12,0,-88
E12000006,East of England,region,2023-03-26,0,11,0,-494
E12000006,East of England,region,2023-03-25,0,16,0,0
E12000006,East of England,region,2023-03-24,0,15,0,0
E12000006,East of England,region,2023-03-23,3456,11,0,-189
E12000006,East of England,region,2023-03-22,0,14,0,-173
E12000006,East of England,region,2023-03-21,0,17,0,-383
E12000006,East of England,region,2023-03-20,0,6,0,0
E12000006,East of England,region,2023-03-19,0,11,0,-921
E12000006,East of England,region,2023-03-18,0,12,0,0
E12000006,East of England,region,2023-03-17,0,14,0,0
E12000006,East of England,region,2023-03-16,3118,9,0,0
E12000006,East of England,region,2023-03-15,0,15,0,0
E12000006,East of England,region,2023-03-14,0,11,0,-328
E12000006,East of England,region,2023-03-13,0,11,0,-83
E12000006,East of England,region,2023-03-12,0,9,0,-567
E12000006,East of England,region,2023-03-11,0,11,0,0
E12000006,East of England,region,2023-03-10,0,14,0,0
E12000006,East of England,region,2023-03-09,2681,22,0,-212
E12000006,East of England,region,2023-03-08,0,14,0,-171
E12000006,East of England,region,2023-03-07,0,15,0,-263
E12000006,East of England,region,2023-03-06,0,13,0,-41
E12000006,East of England,region,2023-03-05,0,9,0,-564
E12000006,East of England,region,2023-03-04,0,12,0,0
E12000006,East of England,region,2023-03-03,0,10,0,0
E12000006,East of England,region,2023-03-02,2657,10,0,-341
E12000006,East of England,region,2023-03-01,0,14,0,-271
E12000006,East of England,region,2023-02-28,0,14,0,-171
E12000006,East of England,region,2023-02-27,0,15,0,-84
E12000006,East of England,region,2023-02-26,0,19,0,-578
E12000006,East of England,region,2023-02-25,0,13,0,0
E12000006,East of England,region,2023-02-24,0,13,0,0
E12000006,East of England,region,2023-02-23,3137,17,0,-216
E12000006,East of England,region,2023-02-22,0,14,0,-229
E12000006,East of England,region,2023-02-21,0,16,0,-320
E12000006,East of England,region,2023-02-20,0,9,0,0
E12000006,East of England,region,2023-02-19,0,7,0,-575
E12000006,East of England,region,2023-02-18,0,14,0,0
E12000006,East of England,region,2023-02-17,0,21,0,0
E12000006,East of England,region,2023-02-16,2889,14,0,-178
E12000006,East of England,region,2023-02-15,0,13,0,-218
E12000006,East of England,region,2023-02-14,0,11,0,-185
E12000006,East of England,region,2023-02-13,0,15,0,-52
E12000006,East of England,region,2023-02-12,0,7,0,-10
E12000006,East of England,region,2023-02-11,0,13,0,0
E12000006,East of England,region,2023-02-10,0,9,0,0
E12000006,East of England,region,2023-02-09,2709,14,0,-490
E12000006,East of England,region,2023-02-08,0,17,0,0
E12000006,East of England,region,2023-02-07,0,9,0,0
E12000006,East of England,region,2023-02-06,0,15,0,0
E12000006,East of England,region,2023-02-05,0,10,0,0
E12000006,East of England,region,2023-02-04,0,11,0,0
E12000006,East of England,region,2023-02-03,0,13,0,0
E12000006,East of England,region,2023-02-02,2212,23,0,-98
E12000006,East of England,region,2023-02-01,0,10,0,-188
E12000006,East of England,region,2023-01-31,0,14,0,-265
E12000006,East of England,region,2023-01-30,0,13,18,10
E12000006,East of England,region,2023-01-29,0,12,0,-286
E12000006,East of England,region,2023-01-28,0,8,0,0
E12000006,East of England,region,2023-01-27,0,17,0,0
E12000006,East of England,region,2023-01-26,1575,18,0,-142
E12000006,East of England,region,2023-01-25,0,11,0,-193
E12000006,East of England,region,2023-01-24,0,18,0,-288
E12000006,East of England,region,2023-01-23,0,8,1,2
E12000006,East of England,region,2023-01-22,0,7,0,-362
E12000006,East of England,region,2023-01-21,0,13,0,0
E12000006,East of England,region,2023-01-20,0,18,0,0
E12000006,East of England,region,2023-01-19,1645,17,0,-229
E12000006,East of England,region,2023-01-18,0,13,0,-164
E12000006,East of England,region,2023-01-17,0,23,0,-259
E12000006,East of England,region,2023-01-16,0,22,43,13
E12000006,East of England,region,2023-01-15,0,15,0,-695
E12000006,East of England,region,2023-01-14,0,14,0,0
E12000006,East of England,region,2023-01-13,0,15,0,0
E12000006,East of England,region,2023-01-12,2569,18,135,122
E12000006,East of England,region,2023-01-11,0,29,0,-85
E12000006,East of England,region,2023-01-10,0,15,0,-368
E12000006,East of England,region,2023-01-09,0,24,39,33
E12000006,East of England,region,2023-01-08,0,19,0,-651
E12000006,East of England,region,2023-01-07,0,16,0,0
E12000006,East of England,region,2023-01-06,0,19,0,0
E12000006,East of England,region,2023-01-05,4755,11,0,-390
E12000006,East of England,region,2023-01-04,0,22,0,0
E12000006,East of England,region,2023-01-03,0,16,0,-531
E12000006,East of England,region,2023-01-02,0,26,0,0
E12000006,East of England,region,2023-01-01,0,13,0,0
E12000006,East of England,region,2022-12-31,0,18,0,0
E12000006,East of England,region,2022-12-30,0,19,0,0
E12000006,East of England,region,2022-12-29,4743,20,0,-393
E12000006,East of England,region,2022-12-28,0,25,10,28
E12000006,East of England,region,2022-12-27,0,26,0,-24
E12000006,East of England,region,2022-12-26,0,12,0,-75
E12000006,East of England,region,2022-12-25,0,24,0,-443
E12000006,East of England,region,2022-12-24,0,21,0,0
E12000006,East of England,region,2022-12-23,0,15,0,0
E12000006,East of England,region,2022-12-22,5161,15,0,-102
E12000006,East of England,region,2022-12-21,0,12,0,-733
E12000006,East of England,region,2022-12-20,0,15,0,0
E12000006,East of England,region,2022-12-19,0,16,0,0
E12000006,East of England,region,2022-12-18,0,14,0,0
E12000006,East of England,region,2022-12-17,0,14,0,0
E12000006,East of England,region,2022-12-16,0,11,0,0
E12000006,East of England,region,2022-12-15,3645,7,0,0
E12000006,East of England,region,2022-12-14,0,9,10551,8607
E12000006,East of England,region,2022-12-13,0,8,0,0
E12000006,East of England,region,2022-12-12,0,6,0,0
E12000006,East of England,region,2022-12-11,0,7,0,0
E12000006,East of England,region,2022-12-10,0,7,0,0
E12000006,East of England,region,2022-12-09,0,11,0,0
E12000006,East of England,region,2022-12-08,2899,6,0,0
E12000006,East of England,region,2022-12-07,0,10,0,-132
E12000006,East of England,region,2022-12-06,0,10,0,-128
E12000006,East of England,region,2022-12-05,0,4,0,28
