areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000009,South West,region,2023-04-13,1411,,,
E12000009,South West,region,2023-04-12,0,,0,-451
E12000009,South West,region,2023-04-11,0,,18,-29
E12000009,South West,region,2023-04-10,0,6,0,-33
E12000009,South West,region,2023-04-09,0,8,0,-606
E12000009,South West,region,2023-04-08,0,6,0,0
E12000009,South West,region,2023-04-07,0,9,0,0
E12000009,South West,region,2023-04-06,1849,12,0,-195
E12000009,South West,region,2023-04-05,0,7,0,-110
E12000009,South West,region,2023-04-04,0,8,0,-277
E12000009,South West,region,2023-04-03,0,9,25,-20
E12000009,South West,region,2023-04-02,0,5,0,-459
E12000009,South West,region,2023-04-01,0,8,0,0
E12000009,South West,region,2023-03-31,0,11,0,0
E12000009,South West,region,2023-03-30,2623,14,0,-260
E12000009,South West,region,2023-03-29,0,16,0,-213
E12000009,South West,region,2023-03-28,0,12,0,-353
E12000009,South West,region,2023-03-27,0,11,0,-30
E12000009,South West,region,2023-03-26,0,9,0,-444
E12000009,South West,region,2023-03-25,0,8,0,0
E12000009,South West,region,2023-03-24,0,8,0,0
E12000009,South West,region,2023-03-23,3159,8,0,-138
E12000009,South West,region,2023-03-22,0,14,0,-199
E12000009,South West,region,2023-03-21,0,15,0,-375
E12000009,South West,region,2023-03-20,0,10,0,0
E12000009,South West,region,2023-03-19,0,12,0,-771
E12000009,South West,region,2023-03-18,0,17,0,0
E12000009,South West,region,2023-03-17,0,6,0,0
E12000009,South West,region,2023-03-16,3197,16,0,0
E12000009,South West,region,2023-03-15,0,9,0,0
E12000009,South West,region,2023-03-14,0,12,0,-351
E12000009,South West,region,2023-03-13,0,15,0,-50
E12000009,South West,region,2023-03-12,0,12,0,-345
E12000009,South West,region,2023-03-11,0,16,0,0
E12000009,South West,region,2023-03-10,0,13,0,0
E12000009,South West,region,2023-03-09,2821,10,0,-218
E12000009,South West,region,2023-03-08,0,13,0,-135
E12000009,South West,region,2023-03-07,0,14,0,-382
E12000009,South West,region,2023-03-06,0,14,15,-26
E12000009,South West,region,2023-03-05,0,10,0,-533
E12000009,South West,region,2023-03-04,0,18,0,0
E12000009,South West,region,2023-03-03,0,8,0,0
E12000009,South West,region,2023-03-02,2464,5,0,-278
E12000009,South West,region,2023-03-01,0,10,0,-155
E12000009,South West,region,2023-02-28,0,7,0,-266
E12000009,South West,region,2023-02-27,0,14,0,-66
E12000009,South West,region,2023-02-26,0,9,0,-568
E12000009,South West,region,2023-02-25,0,12,0,0
E12000009,South West,region,2023-02-24,0,13,0,0
E12000009,South West,region,2023-02-23,2633,16,0,-221
E12000009,South West,region,2023-02-22,0,14,0,-138
E12000009,South West,region,2023-02-21,0,9,0,-362
E12000009,South West,region,2023-02-20,0,17,0,0
E12000009,South West,region,2023-02-19,0,14,0,-496
E12000009,South West,region,2023-02-18,0,13,0,0
E12000009,South West,region,2023-02-17,0,17,0,0
E12000009,South West,region,2023-02-16,2642,7,0,-147
E12000009,South West,region,2023-02-15,0,12,0,-143
E12000009,South West,region,2023-02-14,0,10,0,-317
E12000009,South West,region,2023-02-13,0,8,49,-9
E12000009,South West,region,2023-02-12,0,9,0,155
E12000009,South West,region,2023-02-11,0,5,0,0
E12000009,South West,region,2023-02-10,0,13,0,0
E12000009,South West,region,2023-02-09,2442,8,0,-156
E12000009,South West,region,2023-02-08,0,14,0,0
E12000009,South West,region,2023-02-07,0,11,0,0
E12000009,South West,region,2023-02-06,0,4,0,0
E12000009,South West,region,2023-02-05,0,11,0,0
E12000009,South West,region,2023-02-04,0,8,0,0
E12000009,South West,region,2023-02-03,0,11,0,0
