areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000003,Yorkshire and The Humber,region,2023-04-13,1468,,,
E12000003,Yorkshire and The Humber,region,2023-04-12,0,,0,-336
E12000003,Yorkshire and The Humber,region,2023-04-11,0,,0,-21
E12000003,Yorkshire and The Humber,region,2023-04-10,0,8,0,-63
E12000003,Yorkshire and The Humber,region,2023-04-09,0,10,0,-396
E12000003,Yorkshire and The Humber,region,2023-04-08,0,8,0,0
E12000003,Yorkshire and The Humber,region,2023-04-07,0,8,0,0
E12000003,Yorkshire and The Humber,region,2023-04-06,1904,6,0,-267
E12000003,Yorkshire and The Humber,region,2023-04-05,0,6,0,-187
E12000003,Yorkshire and The Humber,region,2023-04-04,0,15,0,-239
E12000003,Yorkshire and The Humber,region,2023-04-03,0,14,8,-23
E12000003,Yorkshire and The Humber,region,2023-04-02,0,7,0,-454
E12000003,Yorkshire and The Humber,region,2023-04-01,0,7,0,0
E12000003,Yorkshire and The Humber,region,2023-03-31,0,13,0,0
E12000003,Yorkshire and The Humber,region,2023-03-30,2731,20,0,-242
E12000003,Yorkshire and The Humber,region,2023-03-29,0,20,0,-213
E12000003,Yorkshire and The Humber,region,2023-03-28,0,18,0,-258
E12000003,Yorkshire and The Humber,region,2023-03-27,0,11,0,-55
E12000003,Yorkshire and The Humber,region,2023-03-26,0,15,0,-490
E12000003,Yorkshire and The Humber,region,2023-03-25,0,12,0,0
E12000003,Yorkshire and The Humber,region,2023-03-24,0,13,0,0
E12000003,Yorkshire and The Humber,region,2023-03-23,3011,12,0,-195
E12000003,Yorkshire and The Humber,region,2023-03-22,0,18,0,-243
E12000003,Yorkshire and The Humber,region,2023-03-21,0,20,0,-275
E12000003,Yorkshire and The Humber,region,2023-03-20,0,11,0,0
E12000003,Yorkshire and The Humber,region,2023-03-19,0,11,0,-959
E12000003,Yorkshire and The Humber,region,2023-03-18,0,13,0,0
E12000003,Yorkshire and The Humber,region,2023-03-17,0,19,0,0
E12000003,Yorkshire and The Humber,region,2023-03-16,3134,13,0,0
E12000003,Yorkshire and The Humber,region,2023-03-15,0,16,0,0
E12000003,Yorkshire and The Humber,region,2023-03-14,0,9,0,-266
E12000003,Yorkshire and The Humber,region,2023-03-13,0,11,0,-74
E12000003,Yorkshire and The Humber,region,2023-03-12,0,21,0,-577
E12000003,Yorkshire and The Humber,region,2023-03-11,0,10,0,0
E12000003,Yorkshire and The Humber,region,2023-03-10,0,12,0,0
E12000003,Yorkshire and The Humber,region,2023-03-09,2954,12,0,-150
E12000003,Yorkshire and The Humber,region,2023-03-08,0,11,0,-215
E12000003,Yorkshire and The Humber,region,2023-03-07,0,12,0,-265
E12000003,Yorkshire and The Humber,region,2023-03-06,0,17,0,-72
E12000003,Yorkshire and The Humber,region,2023-03-05,0,21,0,-505
E12000003,Yorkshire and The Humber,region,2023-03-04,0,7,0,0
