areaCode,areaName,areaType,date,changeInNewDeaths28DaysByDeathDate,newCasesByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E92000001,England,nation,2023-04-13,,14294,,
E92000001,England,nation,2023-04-12,,0,,
E92000001,England,nation,2023-04-11,,0,,
E92000001,England,nation,2023-04-10,53,0,,
E92000001,England,nation,2023-04-09,55,0,,
E92000001,England,nation,2023-04-08,53,0,,
E92000001,England,nation,2023-04-07,75,0,,
E92000001,England,nation,2023-04-06,85,18021,,
E92000001,England,nation,2023-04-05,77,0,,
E92000001,England,nation,2023-04-04,117,0,,
E92000001,England,nation,2023-04-03,70,0,,
E92000001,England,nation,2023-04-02,27,0,30,
E92000001,England,nation,2023-04-01,43,0,293,2
E92000001,England,nation,2023-03-31,24,0,214,5
E92000001,England,nation,2023-03-30,25,25110,79,2
E92000001,England,nation,2023-03-29,10,0,165,5
E92000001,England,nation,2023-03-28,8,0,146,1
E92000001,England,nation,2023-03-27,6,0,248,36
E92000001,England,nation,2023-03-26,3,0,140,1
E92000001,England,nation,2023-03-25,7,0,671,7
E92000001,England,nation,2023-03-24,10,0,234,4
E92000001,England,nation,2023-03-23,2,34062,204,5
E92000001,England,nation,2023-03-22,4,0,204,9
E92000001,England,nation,2023-03-21,4,0,198,4
E92000001,England,nation,2023-03-20,-1,0,337,-66
E92000001,England,nation,2023-03-19,0,0,114,4
E92000001,England,nation,2023-03-18,1,0,817,14
E92000001,England,nation,2023-03-17,2,0,293,11
E92000001,England,nation,2023-03-16,1,24679,287,10
E92000001,England,nation,2023-03-15,2,0,332,12
E92000001,England,nation,2023-03-14,1,0,187,42
E92000001,England,nation,2023-03-13,2,0,389,73
E92000001,England,nation,2023-03-12,0,0,217,22
E92000001,England,nation,2023-03-11,0,0,852,7
E92000001,England,nation,2023-03-10,0,0,332,2
E92000001,England,nation,2023-03-09,0,26329,221,18
E92000001,England,nation,2023-03-08,-1,0,253,47
E92000001,England,nation,2023-03-07,0,0,173,10
E92000001,England,nation,2023-03-06,0,0,590,176
E92000001,England,nation,2023-03-05,1,0,176,14
E92000001,England,nation,2023-03-04,2,0,1099,14
E92000001,England,nation,2023-03-03,2,0,372,10
E92000001,England,nation,2023-03-02,0,24269,316,27
E92000001,England,nation,2023-03-01,0,0,292,6
E92000001,England,nation,2023-02-28,1,0,217,23
E92000001,England,nation,2023-02-27,0,0,231,26
E92000001,England,nation,2023-02-26,0,0,493,169
E92000001,England,nation,2023-02-25,0,0,1420,45
E92000001,England,nation,2023-02-24,0,0,497,27
E92000001,England,nation,2023-02-23,1,26460,436,29
E92000001,England,nation,2023-02-22,0,0,333,43
E92000001,England,nation,2023-02-21,0,0,234,32
E92000001,England,nation,2023-02-20,1,0,461,111
E92000001,England,nation,2023-02-19,0,0,212,18
E92000001,England,nation,2023-02-18,0,0,1670,117
E92000001,England,nation,2023-02-17,0,0,845,90
E92000001,England,nation,2023-02-16,0,23686,765,112
E92000001,England,nation,2023-02-15,0,0,694,106
E92000001,England,nation,2023-02-14,0,0,578,119
E92000001,England,nation,2023-02-13,0,0,987,377
E92000001,England,nation,2023-02-12,0,0,678,979
E92000001,England,nation,2023-02-11,0,0,2753,3533
E92000001,England,nation,2023-02-10,0,0,937,2009
E92000001,England,nation,2023-02-09,0,20570,741,1681
E92000001,England,nation,2023-02-08,1,0,700,1419
E92000001,England,nation,2023-02-07,0,0,536,1186
E92000001,England,nation,2023-02-06,0,0,1017,1352
E92000001,England,nation,2023-02-05,0,0,727,563
E92000001,England,nation,2023-02-04,0,0,2007,1715
E92000001,England,nation,2023-02-03,0,0,713,772
E92000001,England,nation,2023-02-02,0,17889,576,704
E92000001,England,nation,2023-02-01,0,0,658,702
E92000001,England,nation,2023-01-31,0,0,598,623
E92000001,England,nation,2023-01-30,0,0,892,21
E92000001,England,nation,2023-01-29,0,0,495,312
E92000001,England,nation,2023-01-28,0,0,2548,1593
E92000001,England,nation,2023-01-27,0,0,954,835
E92000001,England,nation,2023-01-26,0,13714,680,768
E92000001,England,nation,2023-01-25,0,0,695,703
E92000001,England,nation,2023-01-24,0,0,593,630
E92000001,England,nation,2023-01-23,0,0,755,736
E92000001,England,nation,2023-01-22,0,0,743,295
E92000001,England,nation,2023-01-21,0,0,3010,1467
E92000001,England,nation,2023-01-20,1,0,1031,867
E92000001,England,nation,2023-01-19,0,13990,752,706
E92000001,England,nation,2023-01-18,0,0,573,654
E92000001,England,nation,2023-01-17,0,0,673,719
E92000001,England,nation,2023-01-16,0,0,1006,957
E92000001,England,nation,2023-01-15,0,0,652,343
E92000001,England,nation,2023-01-14,0,0,2813,1332
E92000001,England,nation,2023-01-13,0,0,1079,967
E92000001,England,nation,2023-01-12,0,23990,832,904
E92000001,England,nation,2023-01-11,0,0,797,885
E92000001,England,nation,2023-01-10,0,0,708,782
E92000001,England,nation,2023-01-09,0,0,1280,1229
E92000001,England,nation,2023-01-08,0,0,698,272
E92000001,England,nation,2023-01-07,0,0,2547,1555
E92000001,England,nation,2023-01-06,0,0,879,985
E92000001,England,nation,2023-01-05,0,36598,621,980
E92000001,England,nation,2023-01-04,0,0,836,1035
E92000001,England,nation,2023-01-03,0,0,910,895
E92000001,England,nation,2023-01-02,0,0,0,-39
E92000001,England,nation,2023-01-01,0,0,12,16
E92000001,England,nation,2022-12-31,0,0,707,396
E92000001,England,nation,2022-12-30,0,0,1050,889
