areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000007,London,region,2023-04-13,1213,,,
E12000007,London,region,2023-04-12,0,,0,-265
E12000007,London,region,2023-04-11,0,,28,-22
E12000007,London,region,2023-04-10,0,0,0,-80
E12000007,London,region,2023-04-09,0,6,0,-776
E12000007,London,region,2023-04-08,0,2,0,0
E12000007,London,region,2023-04-07,0,3,0,0
E12000007,London,region,2023-04-06,1653,2,0,-588
E12000007,London,region,2023-04-05,0,3,0,-232
E12000007,London,region,2023-04-04,0,8,0,-155
E12000007,London,region,2023-04-03,0,5,31,-17
E12000007,London,region,2023-04-02,0,5,0,-979
E12000007,London,region,2023-04-01,0,7,0,0
E12000007,London,region,2023-03-31,0,3,0,0
E12000007,London,region,2023-03-30,2252,10,0,-433
E12000007,London,region,2023-03-29,0,5,0,-196
E12000007,London,region,2023-03-28,0,6,0,-363
E12000007,London,region,2023-03-27,0,7,0,-76
E12000007,London,region,2023-03-26,0,8,0,-908
E12000007,London,region,2023-03-25,0,13,0,0
E12000007,London,region,2023-03-24,0,12,0,0
E12000007,London,region,2023-03-23,2775,11,0,-347
E12000007,London,region,2023-03-22,0,10,0,-539
E12000007,London,region,2023-03-21,0,12,0,-438
E12000007,London,region,2023-03-20,0,11,0,0
E12000007,London,region,2023-03-19,0,4,0,-1639
E12000007,London,region,2023-03-18,0,7,0,0
E12000007,London,region,2023-03-17,0,11,0,0
E12000007,London,region,2023-03-16,3072,17,0,0
E12000007,London,region,2023-03-15,0,18,0,0
E12000007,London,region,2023-03-14,0,12,0,-338
E12000007,London,region,2023-03-13,0,15,0,-63
E12000007,London,region,2023-03-12,0,14,0,-869
E12000007,London,region,2023-03-11,0,5,0,0
E12000007,London,region,2023-03-10,0,12,0,0
E12000007,London,region,2023-03-09,2898,10,0,-495
E12000007,London,region,2023-03-08,0,7,0,-244
E12000007,London,region,2023-03-07,0,13,0,-341
E12000007,London,region,2023-03-06,0,10,0,-51
E12000007,London,region,2023-03-05,0,14,0,-1006
E12000007,London,region,2023-03-04,0,6,0,0
E12000007,London,region,2023-03-03,0,5,0,0
E12000007,London,region,2023-03-02,2731,12,0,-618
E12000007,London,region,2023-03-01,0,5,0,-384
E12000007,London,region,2023-02-28,0,8,0,-198
E12000007,London,region,2023-02-27,0,8,0,-87
E12000007,London,region,2023-02-26,0,12,0,-1021
E12000007,London,region,2023-02-25,0,9,0,0
E12000007,London,region,2023-02-24,0,6,0,0
E12000007,London,region,2023-02-23,3257,14,0,-459
E12000007,London,region,2023-02-22,0,14,0,-335
E12000007,London,region,2023-02-21,0,5,0,-335
E12000007,London,region,2023-02-20,0,12,0,0
E12000007,London,region,2023-02-19,0,9,0,-1205
E12000007,London,region,2023-02-18,0,9,0,0
E12000007,London,region,2023-02-17,0,5,0,0
E12000007,London,region,2023-02-16,2677,9,0,-347
E12000007,London,region,2023-02-15,0,8,0,-382
E12000007,London,region,2023-02-14,0,4,0,-336
E12000007,London,region,2023-02-13,0,5,15,-14
E12000007,London,region,2023-02-12,0,4,0,47
E12000007,London,region,2023-02-11,0,7,0,0
E12000007,London,region,2023-02-10,0,4,0,0
E12000007,London,region,2023-02-09,2329,6,0,-351
E12000007,London,region,2023-02-08,0,9,0,0
E12000007,London,region,2023-02-07,0,4,0,0
E12000007,London,region,2023-02-06,0,8,0,0
E12000007,London,region,2023-02-05,0,5,0,0
E12000007,London,region,2023-02-04,0,6,0,0
E12000007,London,region,2023-02-03,0,10,0,0
E12000007,London,region,2023-02-02,1929,11,0,-272
E12000007,London,region,2023-02-01,0,7,0,-134
E12000007,London,region,2023-01-31,0,5,0,-198
E12000007,London,region,2023-01-30,0,7,159,102
E12000007,London,region,2023-01-29,0,6,0,-458
E12000007,London,region,2023-01-28,0,13,0,0
E12000007,London,region,2023-01-27,0,9,0,0
E12000007,London,region,2023-01-26,1391,8,0,-195
E12000007,London,region,2023-01-25,0,6,0,-99
E12000007,London,region,2023-01-24,0,8,0,-183
E12000007,London,region,2023-01-23,0,7,102,83
E12000007,London,region,2023-01-22,0,15,0,-631
E12000007,London,region,2023-01-21,0,5,0,0
E12000007,London,region,2023-01-20,0,5,0,0
E12000007,London,region,2023-01-19,1452,8,0,-371
E12000007,London,region,2023-01-18,0,8,0,-134
E12000007,London,region,2023-01-17,0,14,0,-184
E12000007,London,region,2023-01-16,0,12,115,104
E12000007,London,region,2023-01-15,0,13,0,-1089
E12000007,London,region,2023-01-14,0,10,0,0
E12000007,London,region,2023-01-13,0,5,0,0
E12000007,London,region,2023-01-12,2433,16,90,115
E12000007,London,region,2023-01-11,0,9,0,-161
E12000007,London,region,2023-01-10,0,11,0,-306
E12000007,London,region,2023-01-09,0,10,119,114
E12000007,London,region,2023-01-08,0,13,0,-977
E12000007,London,region,2023-01-07,0,9,0,0
E12000007,London,region,2023-01-06,0,19,0,0
E12000007,London,region,2023-01-05,3329,15,0,-231
E12000007,London,region,2023-01-04,0,14,0,0
E12000007,London,region,2023-01-03,0,16,0,-740
E12000007,London,region,2023-01-02,0,14,0,0
E12000007,London,region,2023-01-01,0,15,0,0
E12000007,London,region,2022-12-31,0,18,0,0
E12000007,London,region,2022-12-30,0,17,0,0
E12000007,London,region,2022-12-29,3716,9,0,-443
E12000007,London,region,2022-12-28,0,10,221,234
E12000007,London,region,2022-12-27,0,17,36,17
E12000007,London,region,2022-12-26,0,12,0,-139
E12000007,London,region,2022-12-25,0,18,0,-851
E12000007,London,region,2022-12-24,0,21,0,0
E12000007,London,region,2022-12-23,0,16,0,0
E12000007,London,region,2022-12-22,4527,11,0,-353
E12000007,London,region,2022-12-21,0,15,0,-1031
E12000007,London,region,2022-12-20,0,10,0,0
E12000007,London,region,2022-12-19,0,12,0,0
E12000007,London,region,2022-12-18,0,16,0,0
E12000007,London,region,2022-12-17,0,9,0,0
E12000007,London,region,2022-12-16,0,12,0,0
E12000007,London,region,2022-12-15,3734,4,0,0
E12000007,London,region,2022-12-14,0,9,6243,4979
E12000007,London,region,2022-12-13,0,10,0,0
E12000007,London,region,2022-12-12,0,11,0,0
E12000007,London,region,2022-12-11,0,11,0,0
E12000007,London,region,2022-12-10,0,6,0,0
E12000007,London,region,2022-12-09,0,3,0,0
E12000007,London,region,2022-12-08,3419,10,0,0
E12000007,London,region,2022-12-07,0,10,0,148
E12000007,London,region,2022-12-06,0,10,0,-113
E12000007,London,region,2022-12-05,0,7,0,-95
E12000007,London,region,2022-12-04,0,8,0,0
E12000007,London,region,2022-12-03,0,10,0,0
E12000007,London,region,2022-12-02,0,9,0,0
E12000007,London,region,2022-12-01,2876,6,0,0
E12000007,London,region,2022-11-30,0,6,0,107
E12000007,London,region,2022-11-29,0,5,0,0
E12000007,London,region,2022-11-28,0,2,0,0
E12000007,London,region,2022-11-27,0,8,0,0
E12000007,London,region,2022-11-26,0,8,0,0
E12000007,London,region,2022-11-25,0,3,0,0
E12000007,London,region,2022-11-24,2636,4,0,0
E12000007,London,region,2022-11-23,0,11,0,1383
E12000007,London,region,2022-11-22,0,8,0,0
E12000007,London,region,2022-11-21,0,3,0,0
E12000007,London,region,2022-11-20,0,8,0,0
E12000007,London,region,2022-11-19,0,8,0,0
E12000007,London,region,2022-11-18,0,9,0,0
E12000007,London,region,2022-11-17,2546,14,0,0
E12000007,London,region,2022-11-16,0,8,0,1226
E12000007,London,region,2022-11-15,0,6,0,0
E12000007,London,region,2022-11-14,0,6,0,0
E12000007,London,region,2022-11-13,0,9,0,0
E12000007,London,region,2022-11-12,0,5,0,0
E12000007,London,region,2022-11-11,0,7,0,0
E12000007,London,region,2022-11-10,2604,11,0,0
E12000007,London,region,2022-11-09,0,7,0,857
E12000007,London,region,2022-11-08,0,8,0,0
E12000007,London,region,2022-11-07,0,11,0,0
E12000007,London,region,2022-11-06,0,12,0,0
E12000007,London,region,2022-11-05,0,8,0,0
E12000007,London,region,2022-11-04,0,10,0,0
E12000007,London,region,2022-11-03,3285,13,0,0
E12000007,London,region,2022-11-02,0,4,0,2035
E12000007,London,region,2022-11-01,0,14,0,0
E12000007,London,region,2022-10-31,0,10,0,0
E12000007,London,region,2022-10-30,0,18,0,0
E12000007,London,region,2022-10-29,0,17,0,0
E12000007,London,region,2022-10-28,0,16,0,0
E12000007,London,region,2022-10-27,3969,13,0,0
E12000007,London,region,2022-10-26,0,11,218,3587
E12000007,London,region,2022-10-25,0,13,0,0
E12000007,London,region,2022-10-24,0,15,0,0
E12000007,London,region,2022-10-23,0,10,0,0
E12000007,London,region,2022-10-22,0,9,0,0
E12000007,London,region,2022-10-21,0,12,0,0
E12000007,London,region,2022-10-20,5286,11,0,0
E12000007,London,region,2022-10-19,0,8,0,3448
E12000007,London,region,2022-10-18,0,10,0,0
E12000007,London,region,2022-10-17,0,18,0,0
E12000007,London,region,2022-10-16,0,14,0,0
E12000007,London,region,2022-10-15,0,13,0,0
E12000007,London,region,2022-10-14,0,13,0,0
E12000007,London,region,2022-10-13,5765,11,0,0
E12000007,London,region,2022-10-12,0,12,0,1866
E12000007,London,region,2022-10-11,0,16,0,0
E12000007,London,region,2022-10-10,0,5,0,0
E12000007,London,region,2022-10-09,0,10,0,0
E12000007,London,region,2022-10-08,0,4,0,0
E12000007,London,region,2022-10-07,0,8,0,0
E12000007,London,region,2022-10-06,5276,13,0,0
E12000007,London,region,2022-10-05,0,8,0,2106
E12000007,London,region,2022-10-04,0,4,0,0
E12000007,London,region,2022-10-03,0,8,0,0
E12000007,London,region,2022-10-02,0,6,0,0
E12000007,London,region,2022-10-01,0,9,0,0
E12000007,London,region,2022-09-30,0,3,0,0
E12000007,London,region,2022-09-29,4298,4,0,0
E12000007,London,region,2022-09-28,0,6,0,2260
E12000007,London,region,2022-09-27,0,4,0,0
E12000007,London,region,2022-09-26,0,4,0,0
E12000007,London,region,2022-09-25,0,8,0,0
E12000007,London,region,2022-09-24,0,6,0,0
E12000007,London,region,2022-09-23,0,3,0,0
E12000007,London,region,2022-09-22,3340,2,0,0
E12000007,London,region,2022-09-21,0,3,0,1524
E12000007,London,region,2022-09-20,0,4,0,0
E12000007,London,region,2022-09-19,0,2,0,0
E12000007,London,region,2022-09-18,0,7,0,0
E12000007,London,region,2022-09-17,0,5,0,0
E12000007,London,region,2022-09-16,0,5,0,0
E12000007,London,region,2022-09-15,3057,5,0,0
E12000007,London,region,2022-09-14,0,4,0,431
E12000007,London,region,2022-09-13,0,3,0,0
E12000007,London,region,2022-09-12,0,4,0,0
E12000007,London,region,2022-09-11,0,6,0,0
E12000007,London,region,2022-09-10,0,2,0,0
E12000007,London,region,2022-09-09,0,4,0,0
E12000007,London,region,2022-09-08,3380,4,0,0
E12000007,London,region,2022-09-07,0,2,0,1084
E12000007,London,region,2022-09-06,0,4,0,0
E12000007,London,region,2022-09-05,0,8,0,0
E12000007,London,region,2022-09-04,0,4,0,0
E12000007,London,region,2022-09-03,0,3,0,0
E12000007,London,region,2022-09-02,0,5,0,0
E12000007,London,region,2022-09-01,0,8,0,0
E12000007,London,region,2022-08-31,2931,13,0,0
E12000007,London,region,2022-08-30,0,8,1012,2003
E12000007,London,region,2022-08-29,0,10,0,0
E12000007,London,region,2022-08-28,0,4,0,0
E12000007,London,region,2022-08-27,0,6,0,0
E12000007,London,region,2022-08-26,0,8,0,0
E12000007,London,region,2022-08-25,0,4,0,0
E12000007,London,region,2022-08-24,3360,6,0,0
E12000007,London,region,2022-08-23,0,8,0,1345
E12000007,London,region,2022-08-22,0,7,0,0
E12000007,London,region,2022-08-21,0,10,0,0
E12000007,London,region,2022-08-20,0,11,0,0
E12000007,London,region,2022-08-19,0,10,0,0
E12000007,London,region,2022-08-18,0,7,0,0
E12000007,London,region,2022-08-17,4343,9,0,0
E12000007,London,region,2022-08-16,0,12,2441,2921
E12000007,London,region,2022-08-15,0,8,0,0
E12000007,London,region,2022-08-14,0,9,0,0
E12000007,London,region,2022-08-13,0,22,0,0
E12000007,London,region,2022-08-12,0,13,0,0
E12000007,London,region,2022-08-11,0,18,0,0
E12000007,London,region,2022-08-10,5588,9,0,0
E12000007,London,region,2022-08-09,0,9,1498,2869
E12000007,London,region,2022-08-08,0,17,0,0
E12000007,London,region,2022-08-07,0,17,0,0
E12000007,London,region,2022-08-06,0,13,0,0
E12000007,London,region,2022-08-05,0,9,0,0
E12000007,London,region,2022-08-04,0,10,0,0
E12000007,London,region,2022-08-03,7428,16,0,0
E12000007,London,region,2022-08-02,0,17,3063,4139
E12000007,London,region,2022-08-01,0,18,0,0
E12000007,London,region,2022-07-31,0,7,0,0
E12000007,London,region,2022-07-30,0,16,0,0
E12000007,London,region,2022-07-29,0,19,0,0
E12000007,London,region,2022-07-28,0,16,0,0
E12000007,London,region,2022-07-27,10695,13,0,0
E12000007,London,region,2022-07-26,0,20,3866,5115
E12000007,London,region,2022-07-25,0,21,0,0
E12000007,London,region,2022-07-24,0,13,0,0
E12000007,London,region,2022-07-23,0,20,0,0
E12000007,London,region,2022-07-22,0,12,0,0
E12000007,London,region,2022-07-21,0,19,0,0
E12000007,London,region,2022-07-20,17008,23,0,0
E12000007,London,region,2022-07-19,0,22,4139,4945
E12000007,London,region,2022-07-18,0,11,0,0
E12000007,London,region,2022-07-17,0,20,0,0
E12000007,London,region,2022-07-16,0,20,0,0
E12000007,London,region,2022-07-15,0,12,0,0
E12000007,London,region,2022-07-14,0,9,0,0
E12000007,London,region,2022-07-13,24513,18,0,0
E12000007,London,region,2022-07-12,0,18,5121,6170
E12000007,London,region,2022-07-11,0,16,0,0
E12000007,London,region,2022-07-10,0,14,0,0
E12000007,London,region,2022-07-09,0,14,0,0
E12000007,London,region,2022-07-08,0,15,0,0
E12000007,London,region,2022-07-07,0,17,0,0
E12000007,London,region,2022-07-06,17150,10,0,0
E12000007,London,region,2022-07-05,0,10,5029,5094
E12000007,London,region,2022-07-04,0,14,0,0
E12000007,London,region,2022-07-03,0,10,0,0
E12000007,London,region,2022-07-02,0,15,0,0
E12000007,London,region,2022-07-01,3169,5,0,0
E12000007,London,region,2022-06-30,3106,7,403,769
E12000007,London,region,2022-06-29,3091,12,579,853
E12000007,London,region,2022-06-28,3046,4,768,1113
E12000007,London,region,2022-06-27,6733,7,1009,1415
E12000007,London,region,2022-06-26,0,7,2326,2665
E12000007,London,region,2022-06-25,0,9,0,0
E12000007,London,region,2022-06-24,2417,5,0,0
E12000007,London,region,2022-06-23,2567,9,194,844
E12000007,London,region,2022-06-22,2470,7,424,783
E12000007,London,region,2022-06-21,2421,7,677,922
E12000007,London,region,2022-06-20,5526,7,762,1183
E12000007,London,region,2022-06-19,0,6,1888,2113
E12000007,London,region,2022-06-18,0,5,0,0
E12000007,London,region,2022-06-17,1872,4,0,0
E12000007,London,region,2022-06-16,1911,7,0,480
E12000007,London,region,2022-06-15,2115,4,587,969
E12000007,London,region,2022-06-14,1871,8,15,758
E12000007,London,region,2022-06-13,4766,3,760,1373
E12000007,London,region,2022-06-12,0,3,2189,2826
E12000007,London,region,2022-06-11,0,3,0,0
E12000007,London,region,2022-06-10,1571,6,0,0
E12000007,London,region,2022-06-09,1676,6,380,869
E12000007,London,region,2022-06-08,1514,6,522,1033
E12000007,London,region,2022-06-07,1718,5,509,1100
E12000007,London,region,2022-06-06,4570,6,893,1582
E12000007,London,region,2022-06-05,0,2,2029,2702
E12000007,London,region,2022-06-04,0,7,0,0
E12000007,London,region,2022-06-03,0,2,0,0
E12000007,London,region,2022-06-02,0,4,0,0
E12000007,London,region,2022-06-01,886,2,0,0
E12000007,London,region,2022-05-31,895,4,1016,1279
E12000007,London,region,2022-05-30,2222,7,1228,1735
E12000007,London,region,2022-05-29,0,3,2384,3304
E12000007,London,region,2022-05-28,0,4,0,0
E12000007,London,region,2022-05-27,725,10,0,0
E12000007,London,region,2022-05-26,834,5,242,1013
E12000007,London,region,2022-05-25,886,4,558,1253
E12000007,London,region,2022-05-24,1010,2,419,1120
E12000007,London,region,2022-05-23,2156,7,780,-1911
E12000007,London,region,2022-05-22,0,5,2265,3610
E12000007,London,region,2022-05-21,0,7,0,0
E12000007,London,region,2022-05-20,883,6,0,0
E12000007,London,region,2022-05-19,1007,4,1268,1821
E12000007,London,region,2022-05-18,1141,5,681,1503
E12000007,London,region,2022-05-17,1168,7,269,1078
E12000007,London,region,2022-05-16,2516,4,1166,2033
E12000007,London,region,2022-05-15,0,2,2896,4006
