areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000001,North East,region,2023-04-13,754,,,
E12000001,North East,region,2023-04-12,0,,0,-204
E12000001,North East,region,2023-04-11,0,,15,-4
E12000001,North East,region,2023-04-10,0,2,0,-20
E12000001,North East,region,2023-04-09,0,3,0,-157
E12000001,North East,region,2023-04-08,0,5,0,0
E12000001,North East,region,2023-04-07,0,4,0,0
E12000001,North East,region,2023-04-06,1066,5,0,-196
E12000001,North East,region,2023-04-05,0,3,0,-90
E12000001,North East,region,2023-04-04,0,11,0,-169
E12000001,North East,region,2023-04-03,0,8,2,-3
E12000001,North East,region,2023-04-02,0,3,0,-233
E12000001,North East,region,2023-04-01,0,4,0,0
E12000001,North East,region,2023-03-31,0,5,0,0
E12000001,North East,region,2023-03-30,1426,9,0,-145
E12000001,North East,region,2023-03-29,0,9,0,-93
E12000001,North East,region,2023-03-28,0,11,0,-191
E12000001,North East,region,2023-03-27,0,8,0,-19
E12000001,North East,region,2023-03-26,0,11,0,-226
E12000001,North East,region,2023-03-25,0,14,0,0
E12000001,North East,region,2023-03-24,0,7,0,0
E12000001,North East,region,2023-03-23,1449,2,0,-87
E12000001,North East,region,2023-03-22,0,13,0,-117
E12000001,North East,region,2023-03-21,0,3,0,-174
E12000001,North East,region,2023-03-20,0,10,0,0
E12000001,North East,region,2023-03-19,0,11,0,-457
E12000001,North East,region,2023-03-18,0,7,0,0
E12000001,North East,region,2023-03-17,0,9,0,0
E12000001,North East,region,2023-03-16,1477,6,0,0
E12000001,North East,region,2023-03-15,0,8,0,0
E12000001,North East,region,2023-03-14,0,9,0,-144
E12000001,North East,region,2023-03-13,0,4,0,-13
E12000001,North East,region,2023-03-12,0,9,0,-192
E12000001,North East,region,2023-03-11,0,11,0,0
E12000001,North East,region,2023-03-10,0,8,0,0
E12000001,North East,region,2023-03-09,1562,13,0,-148
E12000001,North East,region,2023-03-08,0,5,0,-85
E12000001,North East,region,2023-03-07,0,9,0,-163
E12000001,North East,region,2023-03-06,0,7,0,-24
E12000001,North East,region,2023-03-05,0,6,0,-151
E12000001,North East,region,2023-03-04,0,9,0,0
E12000001,North East,region,2023-03-03,0,6,0,0
E12000001,North East,region,2023-03-02,1475,13,0,-102
E12000001,North East,region,2023-03-01,0,9,0,-63
