areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000002,North West,region,2023-04-13,2219,,,
E12000002,North West,region,2023-04-12,0,,0,-465
E12000002,North West,region,2023-04-11,0,,23,-44
E12000002,North West,region,2023-04-10,0,6,0,-63
E12000002,North West,region,2023-04-09,0,3,0,-652
E12000002,North West,region,2023-04-08,0,9,0,0
E12000002,North West,region,2023-04-07,0,18,0,0
E12000002,North West,region,2023-04-06,2725,10,0,-469
E12000002,North West,region,2023-04-05,0,8,0,-193
E12000002,North West,region,2023-04-04,0,19,0,-115
E12000002,North West,region,2023-04-03,0,12,25,-21
E12000002,North West,region,2023-04-02,0,20,0,-579
E12000002,North West,region,2023-04-01,0,12,0,0
E12000002,North West,region,2023-03-31,0,16,0,0
E12000002,North West,region,2023-03-30,3767,22,0,-378
E12000002,North West,region,2023-03-29,0,20,0,-185
E12000002,North West,region,2023-03-28,0,18,0,-421
E12000002,North West,region,2023-03-27,0,26,0,-59
E12000002,North West,region,2023-03-26,0,12,0,-671
E12000002,North West,region,2023-03-25,0,21,0,0
E12000002,North West,region,2023-03-24,0,24,0,0
E12000002,North West,region,2023-03-23,4254,21,0,-236
E12000002,North West,region,2023-03-22,0,18,0,-266
E12000002,North West,region,2023-03-21,0,20,0,-506
E12000002,North West,region,2023-03-20,0,18,0,0
E12000002,North West,region,2023-03-19,0,13,0,-1063
E12000002,North West,region,2023-03-18,0,16,0,0
E12000002,North West,region,2023-03-17,0,22,0,0
E12000002,North West,region,2023-03-16,4223,20,0,0
E12000002,North West,region,2023-03-15,0,22,0,0
E12000002,North West,region,2023-03-14,0,21,0,-372
E12000002,North West,region,2023-03-13,0,19,0,-75
E12000002,North West,region,2023-03-12,0,22,0,-559
E12000002,North West,region,2023-03-11,0,21,0,0
E12000002,North West,region,2023-03-10,0,20,0,0
E12000002,North West,region,2023-03-09,3776,14,0,-311
E12000002,North West,region,2023-03-08,0,24,0,-180
E12000002,North West,region,2023-03-07,0,21,0,-326
E12000002,North West,region,2023-03-06,0,15,0,-60
E12000002,North West,region,2023-03-05,0,13,0,-599
E12000002,North West,region,2023-03-04,0,15,0,0
E12000002,North West,region,2023-03-03,0,17,0,0
E12000002,North West,region,2023-03-02,3288,14,0,-275
E12000002,North West,region,2023-03-01,0,11,0,-223
E12000002,North West,region,2023-02-28,0,15,0,-325
E12000002,North West,region,2023-02-27,0,15,0,-62
E12000002,North West,region,2023-02-26,0,12,0,-578
E12000002,North West,region,2023-02-25,0,11,0,0
E12000002,North West,region,2023-02-24,0,12,0,0
E12000002,North West,region,2023-02-23,3096,13,0,-266
E12000002,North West,region,2023-02-22,0,16,0,-186
E12000002,North West,region,2023-02-21,0,10,0,-435
E12000002,North West,region,2023-02-20,0,15,0,0
E12000002,North West,region,2023-02-19,0,11,0,-634
E12000002,North West,region,2023-02-18,0,10,0,0
E12000002,North West,region,2023-02-17,0,16,0,0
E12000002,North West,region,2023-02-16,2614,8,0,-295
E12000002,North West,region,2023-02-15,0,10,0,-217
E12000002,North West,region,2023-02-14,0,9,0,-290
E12000002,North West,region,2023-02-13,0,13,0,-39
E12000002,North West,region,2023-02-12,0,11,0,99
E12000002,North West,region,2023-02-11,0,15,0,0
E12000002,North West,region,2023-02-10,0,15,0,0
E12000002,North West,region,2023-02-09,2324,10,0,-343
E12000002,North West,region,2023-02-08,0,13,0,0
E12000002,North West,region,2023-02-07,0,6,0,0
E12000002,North West,region,2023-02-06,0,4,0,0
E12000002,North West,region,2023-02-05,0,14,0,0
E12000002,North West,region,2023-02-04,0,9,0,0
E12000002,North West,region,2023-02-03,0,6,0,0
E12000002,North West,region,2023-02-02,2077,11,0,-196
E12000002,North West,region,2023-02-01,0,14,0,-156
E12000002,North West,region,2023-01-31,0,14,0,-322
E12000002,North West,region,2023-01-30,0,11,91,58
E12000002,North West,region,2023-01-29,0,16,0,-412
E12000002,North West,region,2023-01-28,0,15,0,0
E12000002,North West,region,2023-01-27,0,11,0,0
E12000002,North West,region,2023-01-26,1738,16,0,-49
E12000002,North West,region,2023-01-25,0,14,0,-120
E12000002,North West,region,2023-01-24,0,11,0,-287
E12000002,North West,region,2023-01-23,0,15,20,15
E12000002,North West,region,2023-01-22,0,17,0,-526
E12000002,North West,region,2023-01-21,0,14,0,0
E12000002,North West,region,2023-01-20,0,17,0,0
E12000002,North West,region,2023-01-19,1959,10,0,-224
E12000002,North West,region,2023-01-18,0,23,0,-131
E12000002,North West,region,2023-01-17,0,25,0,-309
E12000002,North West,region,2023-01-16,0,20,40,50
E12000002,North West,region,2023-01-15,0,21,0,-945
E12000002,North West,region,2023-01-14,0,18,0,0
E12000002,North West,region,2023-01-13,0,16,0,0
E12000002,North West,region,2023-01-12,3365,25,66,51
E12000002,North West,region,2023-01-11,0,15,0,-101
E12000002,North West,region,2023-01-10,0,13,0,-412
E12000002,North West,region,2023-01-09,0,23,13,58
E12000002,North West,region,2023-01-08,0,21,0,-1309
E12000002,North West,region,2023-01-07,0,21,0,0
E12000002,North West,region,2023-01-06,0,13,0,0
E12000002,North West,region,2023-01-05,4564,19,0,-194
E12000002,North West,region,2023-01-04,0,18,0,0
E12000002,North West,region,2023-01-03,0,24,0,-900
E12000002,North West,region,2023-01-02,0,24,0,0
E12000002,North West,region,2023-01-01,0,31,0,0
E12000002,North West,region,2022-12-31,0,24,0,0
E12000002,North West,region,2022-12-30,0,23,0,0
E12000002,North West,region,2022-12-29,4251,21,0,-696
E12000002,North West,region,2022-12-28,0,27,72,60
E12000002,North West,region,2022-12-27,0,20,0,-28
E12000002,North West,region,2022-12-26,0,17,0,-139
E12000002,North West,region,2022-12-25,0,23,0,-840
E12000002,North West,region,2022-12-24,0,17,0,0
E12000002,North West,region,2022-12-23,0,27,0,0
E12000002,North West,region,2022-12-22,4517,16,0,-242
E12000002,North West,region,2022-12-21,0,27,0,-1087
E12000002,North West,region,2022-12-20,0,20,0,0
E12000002,North West,region,2022-12-19,0,10,0,0
E12000002,North West,region,2022-12-18,0,13,0,0
E12000002,North West,region,2022-12-17,0,16,0,0
E12000002,North West,region,2022-12-16,0,18,0,0
E12000002,North West,region,2022-12-15,3899,14,0,0
E12000002,North West,region,2022-12-14,0,14,9781,7582
E12000002,North West,region,2022-12-13,0,12,0,0
E12000002,North West,region,2022-12-12,0,10,0,0
E12000002,North West,region,2022-12-11,0,6,0,0
E12000002,North West,region,2022-12-10,0,9,0,0
E12000002,North West,region,2022-12-09,0,8,0,0
E12000002,North West,region,2022-12-08,3177,9,0,0
E12000002,North West,region,2022-12-07,0,12,0,-113
E12000002,North West,region,2022-12-06,0,10,0,-129
E12000002,North West,region,2022-12-05,0,10,0,64
E12000002,North West,region,2022-12-04,0,7,0,0
E12000002,North West,region,2022-12-03,0,14,0,0
E12000002,North West,region,2022-12-02,0,9,0,0
E12000002,North West,region,2022-12-01,2906,10,0,0
E12000002,North West,region,2022-11-30,0,10,0,308
E12000002,North West,region,2022-11-29,0,8,0,0
E12000002,North West,region,2022-11-28,0,11,0,0
E12000002,North West,region,2022-11-27,0,8,0,0
E12000002,North West,region,2022-11-26,0,13,0,0
E12000002,North West,region,2022-11-25,0,6,0,0
E12000002,North West,region,2022-11-24,2565,13,0,0
E12000002,North West,region,2022-11-23,0,10,0,745
E12000002,North West,region,2022-11-22,0,10,0,0
E12000002,North West,region,2022-11-21,0,17,0,0
E12000002,North West,region,2022-11-20,0,5,0,0
E12000002,North West,region,2022-11-19,0,12,0,0
E12000002,North West,region,2022-11-18,0,13,0,0
E12000002,North West,region,2022-11-17,2787,11,0,0
E12000002,North West,region,2022-11-16,0,4,0,1692
E12000002,North West,region,2022-11-15,0,10,0,0
E12000002,North West,region,2022-11-14,0,11,0,0
E12000002,North West,region,2022-11-13,0,9,0,0
E12000002,North West,region,2022-11-12,0,14,0,0
E12000002,North West,region,2022-11-11,0,14,0,0
E12000002,North West,region,2022-11-10,2832,6,0,0
E12000002,North West,region,2022-11-09,0,11,0,1588
E12000002,North West,region,2022-11-08,0,11,0,0
E12000002,North West,region,2022-11-07,0,15,0,0
E12000002,North West,region,2022-11-06,0,6,0,0
E12000002,North West,region,2022-11-05,0,17,0,0
E12000002,North West,region,2022-11-04,0,13,0,0
E12000002,North West,region,2022-11-03,3698,13,0,0
E12000002,North West,region,2022-11-02,0,13,0,2138
E12000002,North West,region,2022-11-01,0,24,0,0
E12000002,North West,region,2022-10-31,0,10,0,0
E12000002,North West,region,2022-10-30,0,13,0,0
E12000002,North West,region,2022-10-29,0,15,0,0
E12000002,North West,region,2022-10-28,0,15,0,0
E12000002,North West,region,2022-10-27,4696,13,0,0
E12000002,North West,region,2022-10-26,0,21,3,3157
E12000002,North West,region,2022-10-25,0,19,0,0
E12000002,North West,region,2022-10-24,0,17,0,0
E12000002,North West,region,2022-10-23,0,23,0,0
E12000002,North West,region,2022-10-22,0,15,0,0
E12000002,North West,region,2022-10-21,0,22,0,0
E12000002,North West,region,2022-10-20,5879,21,0,0
E12000002,North West,region,2022-10-19,0,21,0,3353
E12000002,North West,region,2022-10-18,0,21,0,0
E12000002,North West,region,2022-10-17,0,12,0,0
E12000002,North West,region,2022-10-16,0,15,0,0
E12000002,North West,region,2022-10-15,0,11,0,0
E12000002,North West,region,2022-10-14,0,23,0,0
E12000002,North West,region,2022-10-13,6634,14,0,0
E12000002,North West,region,2022-10-12,0,18,0,2897
E12000002,North West,region,2022-10-11,0,27,0,0
E12000002,North West,region,2022-10-10,0,14,0,0
E12000002,North West,region,2022-10-09,0,14,0,0
E12000002,North West,region,2022-10-08,0,20,0,0
E12000002,North West,region,2022-10-07,0,20,0,0
E12000002,North West,region,2022-10-06,6640,19,0,0
E12000002,North West,region,2022-10-05,0,17,48,2927
E12000002,North West,region,2022-10-04,0,20,0,0
E12000002,North West,region,2022-10-03,0,9,0,0
E12000002,North West,region,2022-10-02,0,10,0,0
E12000002,North West,region,2022-10-01,0,12,0,0
E12000002,North West,region,2022-09-30,0,15,0,0
E12000002,North West,region,2022-09-29,5471,16,0,0
E12000002,North West,region,2022-09-28,0,4,0,2049
E12000002,North West,region,2022-09-27,0,13,0,0
E12000002,North West,region,2022-09-26,0,10,0,0
E12000002,North West,region,2022-09-25,0,11,0,0
E12000002,North West,region,2022-09-24,0,12,0,0
E12000002,North West,region,2022-09-23,0,8,0,0
E12000002,North West,region,2022-09-22,4222,12,0,0
E12000002,North West,region,2022-09-21,0,12,409,2373
E12000002,North West,region,2022-09-20,0,6,0,0
E12000002,North West,region,2022-09-19,0,11,0,0
E12000002,North West,region,2022-09-18,0,13,0,0
E12000002,North West,region,2022-09-17,0,8,0,0
E12000002,North West,region,2022-09-16,0,7,0,0
E12000002,North West,region,2022-09-15,3217,3,0,0
E12000002,North West,region,2022-09-14,0,11,0,1502
E12000002,North West,region,2022-09-13,0,3,0,0
E12000002,North West,region,2022-09-12,0,11,0,0
E12000002,North West,region,2022-09-11,0,8,0,0
E12000002,North West,region,2022-09-10,0,10,0,0
E12000002,North West,region,2022-09-09,0,7,0,0
E12000002,North West,region,2022-09-08,3852,4,0,0
E12000002,North West,region,2022-09-07,0,9,0,1545
E12000002,North West,region,2022-09-06,0,11,0,0
E12000002,North West,region,2022-09-05,0,11,0,0
E12000002,North West,region,2022-09-04,0,14,0,0
E12000002,North West,region,2022-09-03,0,14,0,0
E12000002,North West,region,2022-09-02,0,12,0,0
E12000002,North West,region,2022-09-01,0,10,0,0
E12000002,North West,region,2022-08-31,3081,16,0,0
E12000002,North West,region,2022-08-30,0,12,669,2194
E12000002,North West,region,2022-08-29,0,7,0,0
E12000002,North West,region,2022-08-28,0,8,0,0
E12000002,North West,region,2022-08-27,0,9,0,0
E12000002,North West,region,2022-08-26,0,10,0,0
E12000002,North West,region,2022-08-25,0,8,0,0
E12000002,North West,region,2022-08-24,3534,9,0,0
E12000002,North West,region,2022-08-23,0,12,189,1977
E12000002,North West,region,2022-08-22,0,21,0,0
E12000002,North West,region,2022-08-21,0,13,0,0
E12000002,North West,region,2022-08-20,0,17,0,0
E12000002,North West,region,2022-08-19,0,10,0,0
E12000002,North West,region,2022-08-18,0,15,0,0
E12000002,North West,region,2022-08-17,4932,7,0,0
E12000002,North West,region,2022-08-16,0,18,1191,3003
E12000002,North West,region,2022-08-15,0,20,0,0
E12000002,North West,region,2022-08-14,0,20,0,0
E12000002,North West,region,2022-08-13,0,22,0,0
E12000002,North West,region,2022-08-12,0,17,0,0
E12000002,North West,region,2022-08-11,0,23,0,0
E12000002,North West,region,2022-08-10,6349,20,0,0
E12000002,North West,region,2022-08-09,0,23,1140,3056
E12000002,North West,region,2022-08-08,0,24,0,0
E12000002,North West,region,2022-08-07,0,25,0,0
E12000002,North West,region,2022-08-06,0,19,0,0
E12000002,North West,region,2022-08-05,0,15,0,0
E12000002,North West,region,2022-08-04,0,27,0,0
E12000002,North West,region,2022-08-03,7957,25,0,0
E12000002,North West,region,2022-08-02,0,21,1945,3891
E12000002,North West,region,2022-08-01,0,24,0,0
