areaCode,areaName,areaType,date,changeInNewDeaths28DaysByDeathDate,newCasesByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
N92000002,Northern Ireland,nation,2023-04-12,,,6,392
N92000002,Northern Ireland,nation,2023-04-11,,,0,0
N92000002,Northern Ireland,nation,2023-04-10,,,0,0
N92000002,Northern Ireland,nation,2023-04-09,,,1,-1
N92000002,Northern Ireland,nation,2023-04-08,,,4,0
N92000002,Northern Ireland,nation,2023-04-07,,,8,27
N92000002,Northern Ireland,nation,2023-04-06,,,7,76
N92000002,Northern Ireland,nation,2023-04-05,,,3,170
N92000002,Northern Ireland,nation,2023-04-04,,,3,6
N92000002,Northern Ireland,nation,2023-04-03,,,6,23
N92000002,Northern Ireland,nation,2023-04-02,,,4,0
N92000002,Northern Ireland,nation,2023-04-01,,,10,10
N92000002,Northern Ireland,nation,2023-03-31,,,1,-1
N92000002,Northern Ireland,nation,2023-03-30,,,5,-1
N92000002,Northern Ireland,nation,2023-03-29,,,2,3
N92000002,Northern Ireland,nation,2023-03-28,,,8,2
N92000002,Northern Ireland,nation,2023-03-27,,,5,1
N92000002,Northern Ireland,nation,2023-03-26,,,1,-9
N92000002,Northern Ireland,nation,2023-03-25,,,15,10
N92000002,Northern Ireland,nation,2023-03-24,,,10,3
N92000002,Northern Ireland,nation,2023-03-23,,,2,0
N92000002,Northern Ireland,nation,2023-03-22,,,11,54
N92000002,Northern Ireland,nation,2023-03-21,,,6,19
N92000002,Northern Ireland,nation,2023-03-20,,,11,-62
N92000002,Northern Ireland,nation,2023-03-19,,,14,91
N92000002,Northern Ireland,nation,2023-03-18,,,0,-104
N92000002,Northern Ireland,nation,2023-03-17,,,0,0
N92000002,Northern Ireland,nation,2023-03-16,,,2,0
N92000002,Northern Ireland,nation,2023-03-15,,,0,1
N92000002,Northern Ireland,nation,2023-03-14,,,9,0
N92000002,Northern Ireland,nation,2023-03-13,,,3,3
N92000002,Northern Ireland,nation,2023-03-12,,,2,1
N92000002,Northern Ireland,nation,2023-03-11,,,24,1
N92000002,Northern Ireland,nation,2023-03-10,,,0,0
N92000002,Northern Ireland,nation,2023-03-09,,,3,-1
N92000002,Northern Ireland,nation,2023-03-08,,,6,3
N92000002,Northern Ireland,nation,2023-03-07,,,9,0
N92000002,Northern Ireland,nation,2023-03-06,,,6,2
N92000002,Northern Ireland,nation,2023-03-05,,,0,1
N92000002,Northern Ireland,nation,2023-03-04,,,14,0
N92000002,Northern Ireland,nation,2023-03-03,,,2,0
N92000002,Northern Ireland,nation,2023-03-02,,,5,1
N92000002,Northern Ireland,nation,2023-03-01,,,9,2
N92000002,Northern Ireland,nation,2023-02-28,,,17,0
N92000002,Northern Ireland,nation,2023-02-27,,,2,0
N92000002,Northern Ireland,nation,2023-02-26,,,6,0
N92000002,Northern Ireland,nation,2023-02-25,,,15,0
N92000002,Northern Ireland,nation,2023-02-24,,,5,1
N92000002,Northern Ireland,nation,2023-02-23,,,3,0
N92000002,Northern Ireland,nation,2023-02-22,,,5,2
N92000002,Northern Ireland,nation,2023-02-21,,,2,-1
N92000002,Northern Ireland,nation,2023-02-20,,,8,1
N92000002,Northern Ireland,nation,2023-02-19,,,0,1
N92000002,Northern Ireland,nation,2023-02-18,,,19,0
N92000002,Northern Ireland,nation,2023-02-17,,,4,0
N92000002,Northern Ireland,nation,2023-02-16,,,9,1
N92000002,Northern Ireland,nation,2023-02-15,,,4,1
N92000002,Northern Ireland,nation,2023-02-14,,,3,2
N92000002,Northern Ireland,nation,2023-02-13,,,5,0
N92000002,Northern Ireland,nation,2023-02-12,,,2,-1
N92000002,Northern Ireland,nation,2023-02-11,,,18,0
N92000002,Northern Ireland,nation,2023-02-10,,,1,1
N92000002,Northern Ireland,nation,2023-02-09,,,6,0
N92000002,Northern Ireland,nation,2023-02-08,,,3,5
N92000002,Northern Ireland,nation,2023-02-07,,,3,1
N92000002,Northern Ireland,nation,2023-02-06,,,5,0
N92000002,Northern Ireland,nation,2023-02-05,,,0,-1
N92000002,Northern Ireland,nation,2023-02-04,,,115,0
N92000002,Northern Ireland,nation,2023-02-03,,,3,0
N92000002,Northern Ireland,nation,2023-02-02,,,4,0
N92000002,Northern Ireland,nation,2023-02-01,,,4,0
N92000002,Northern Ireland,nation,2023-01-31,,,16,1
N92000002,Northern Ireland,nation,2023-01-30,,,1,2
N92000002,Northern Ireland,nation,2023-01-29,,,6,1
N92000002,Northern Ireland,nation,2023-01-28,,,24,2
N92000002,Northern Ireland,nation,2023-01-27,,,4,3
N92000002,Northern Ireland,nation,2023-01-26,,,3,0
N92000002,Northern Ireland,nation,2023-01-25,,,8,0
N92000002,Northern Ireland,nation,2023-01-24,,,11,0
N92000002,Northern Ireland,nation,2023-01-23,,,6,2
N92000002,Northern Ireland,nation,2023-01-22,,,5,1
N92000002,Northern Ireland,nation,2023-01-21,,,34,0
N92000002,Northern Ireland,nation,2023-01-20,,,7,-1
N92000002,Northern Ireland,nation,2023-01-19,,,0,4
N92000002,Northern Ireland,nation,2023-01-18,,,0,0
N92000002,Northern Ireland,nation,2023-01-17,,,25,1
N92000002,Northern Ireland,nation,2023-01-16,,,6,3
N92000002,Northern Ireland,nation,2023-01-15,,,8,-1
N92000002,Northern Ireland,nation,2023-01-14,,,32,0
N92000002,Northern Ireland,nation,2023-01-13,,,17,11
N92000002,Northern Ireland,nation,2023-01-12,,,12,0
N92000002,Northern Ireland,nation,2023-01-11,,,29,1
N92000002,Northern Ireland,nation,2023-01-10,,,3,4
N92000002,Northern Ireland,nation,2023-01-09,,,3,15
N92000002,Northern Ireland,nation,2023-01-08,,,7,-1
N92000002,Northern Ireland,nation,2023-01-07,,,70,1
N92000002,Northern Ireland,nation,2023-01-06,,,0,-6
N92000002,Northern Ireland,nation,2023-01-05,,,4,10
N92000002,Northern Ireland,nation,2023-01-04,,,16,0
N92000002,Northern Ireland,nation,2023-01-03,,,9,-7
N92000002,Northern Ireland,nation,2023-01-02,,,0,10
N92000002,Northern Ireland,nation,2023-01-01,,,0,1
N92000002,Northern Ireland,nation,2022-12-31,,,0,0
N92000002,Northern Ireland,nation,2022-12-30,,,5,0
N92000002,Northern Ireland,nation,2022-12-29,,,5,1
N92000002,Northern Ireland,nation,2022-12-28,,,13,0
N92000002,Northern Ireland,nation,2022-12-27,,,0,0
N92000002,Northern Ireland,nation,2022-12-26,,,0,0
N92000002,Northern Ireland,nation,2022-12-25,,,1,-1
N92000002,Northern Ireland,nation,2022-12-24,,,0,0
N92000002,Northern Ireland,nation,2022-12-23,,,2,0
N92000002,Northern Ireland,nation,2022-12-22,,,5,0
N92000002,Northern Ireland,nation,2022-12-21,,,6,-1
N92000002,Northern Ireland,nation,2022-12-20,,,0,38
N92000002,Northern Ireland,nation,2022-12-19,,,4,1
N92000002,Northern Ireland,nation,2022-12-18,,,0,0
N92000002,Northern Ireland,nation,2022-12-17,,,26,0
N92000002,Northern Ireland,nation,2022-12-16,,,0,9
N92000002,Northern Ireland,nation,2022-12-15,,,0,6
N92000002,Northern Ireland,nation,2022-12-14,,,25,0
N92000002,Northern Ireland,nation,2022-12-13,,,11,3
N92000002,Northern Ireland,nation,2022-12-12,,,0,12
N92000002,Northern Ireland,nation,2022-12-11,,,1,-4
N92000002,Northern Ireland,nation,2022-12-10,,,1516,-1140
N92000002,Northern Ireland,nation,2022-12-09,,,0,0
N92000002,Northern Ireland,nation,2022-12-08,,,92,-82
N92000002,Northern Ireland,nation,2022-12-07,,,6,-1
N92000002,Northern Ireland,nation,2022-12-06,,,60,17
N92000002,Northern Ireland,nation,2022-12-05,,,0,0
N92000002,Northern Ireland,nation,2022-12-04,,,0,0
N92000002,Northern Ireland,nation,2022-12-03,,,0,0
N92000002,Northern Ireland,nation,2022-12-02,,,0,0
N92000002,Northern Ireland,nation,2022-12-01,,,17,6
N92000002,Northern Ireland,nation,2022-11-30,,,12,1
N92000002,Northern Ireland,nation,2022-11-29,,,5,1
N92000002,Northern Ireland,nation,2022-11-28,,,6,0
N92000002,Northern Ireland,nation,2022-11-27,,,40,1
N92000002,Northern Ireland,nation,2022-11-26,,,21,24
N92000002,Northern Ireland,nation,2022-11-25,,,7,1
N92000002,Northern Ireland,nation,2022-11-24,,,0,0
N92000002,Northern Ireland,nation,2022-11-23,,,7,0
N92000002,Northern Ireland,nation,2022-11-22,,,4,5
N92000002,Northern Ireland,nation,2022-11-21,,,14,5
N92000002,Northern Ireland,nation,2022-11-20,,,13,-3
N92000002,Northern Ireland,nation,2022-11-19,,,37,1
N92000002,Northern Ireland,nation,2022-11-18,,,79,66
N92000002,Northern Ireland,nation,2022-11-17,,,0,0
N92000002,Northern Ireland,nation,2022-11-16,,,24,4
N92000002,Northern Ireland,nation,2022-11-15,,,6,1
N92000002,Northern Ireland,nation,2022-11-14,,,0,8
N92000002,Northern Ireland,nation,2022-11-13,,,2,1
N92000002,Northern Ireland,nation,2022-11-12,,,72,11
N92000002,Northern Ireland,nation,2022-11-11,,,4,0
N92000002,Northern Ireland,nation,2022-11-10,,,11,2
N92000002,Northern Ireland,nation,2022-11-09,,,25,-1
N92000002,Northern Ireland,nation,2022-11-08,,,5,4
N92000002,Northern Ireland,nation,2022-11-07,,,8,-10
N92000002,Northern Ireland,nation,2022-11-06,,,10,2
N92000002,Northern Ireland,nation,2022-11-05,,,70,1
N92000002,Northern Ireland,nation,2022-11-04,,,12,7
N92000002,Northern Ireland,nation,2022-11-03,,,24,1
N92000002,Northern Ireland,nation,2022-11-02,,,24,0
N92000002,Northern Ireland,nation,2022-11-01,,,10,8
N92000002,Northern Ireland,nation,2022-10-31,,,19,3
N92000002,Northern Ireland,nation,2022-10-30,,,0,0
N92000002,Northern Ireland,nation,2022-10-29,,,92,2
N92000002,Northern Ireland,nation,2022-10-28,,,9,-29
N92000002,Northern Ireland,nation,2022-10-27,,,32,10
N92000002,Northern Ireland,nation,2022-10-26,,,16,1
N92000002,Northern Ireland,nation,2022-10-25,,,25,7
N92000002,Northern Ireland,nation,2022-10-24,,,14,7
N92000002,Northern Ireland,nation,2022-10-23,,,18,0
N92000002,Northern Ireland,nation,2022-10-22,,,75,4
N92000002,Northern Ireland,nation,2022-10-21,,,36,12
N92000002,Northern Ireland,nation,2022-10-20,,,22,7
N92000002,Northern Ireland,nation,2022-10-19,,,28,6
N92000002,Northern Ireland,nation,2022-10-18,,,25,9
N92000002,Northern Ireland,nation,2022-10-17,,,35,8
N92000002,Northern Ireland,nation,2022-10-16,,,18,1
N92000002,Northern Ireland,nation,2022-10-15,,,131,38
N92000002,Northern Ireland,nation,2022-10-14,,,9,23
N92000002,Northern Ireland,nation,2022-10-13,,,17,19
N92000002,Northern Ireland,nation,2022-10-12,,,26,14
N92000002,Northern Ireland,nation,2022-10-11,,,0,92
N92000002,Northern Ireland,nation,2022-10-10,,,17,11
N92000002,Northern Ireland,nation,2022-10-09,,,28,-1
N92000002,Northern Ireland,nation,2022-10-08,,,171,1
N92000002,Northern Ireland,nation,2022-10-07,,,15,10
N92000002,Northern Ireland,nation,2022-10-06,,,18,23
N92000002,Northern Ireland,nation,2022-10-05,,,20,18
N92000002,Northern Ireland,nation,2022-10-04,,,9,96
N92000002,Northern Ireland,nation,2022-10-03,,,10,17
N92000002,Northern Ireland,nation,2022-10-02,,,28,1
N92000002,Northern Ireland,nation,2022-10-01,,,130,0
