areaCode,areaName,areaType,date,changeInNewDeaths28DaysByDeathDate,newCasesByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
S92000003,Scotland,nation,2023-04-13,,1593,,
S92000003,Scotland,nation,2023-04-12,,0,,
S92000003,Scotland,nation,2023-04-11,,0,,
S92000003,Scotland,nation,2023-04-10,,0,,
S92000003,Scotland,nation,2023-04-09,,0,,
S92000003,Scotland,nation,2023-04-08,,0,,
S92000003,Scotland,nation,2023-04-07,,0,,
S92000003,Scotland,nation,2023-04-06,,2211,,
S92000003,Scotland,nation,2023-04-05,,0,,
S92000003,Scotland,nation,2023-04-04,,0,,
S92000003,Scotland,nation,2023-04-03,,0,,
S92000003,Scotland,nation,2023-04-02,,0,,
S92000003,Scotland,nation,2023-04-01,,0,,
S92000003,Scotland,nation,2023-03-31,,0,,
S92000003,Scotland,nation,2023-03-30,,5557,,
S92000003,Scotland,nation,2023-03-29,,0,,
S92000003,Scotland,nation,2023-03-28,,0,,
S92000003,Scotland,nation,2023-03-27,,0,,
S92000003,Scotland,nation,2023-03-26,,0,,
S92000003,Scotland,nation,2023-03-25,,0,,
S92000003,Scotland,nation,2023-03-24,,0,,
S92000003,Scotland,nation,2023-03-23,,0,,
S92000003,Scotland,nation,2023-03-22,,0,,
S92000003,Scotland,nation,2023-03-21,,0,,
S92000003,Scotland,nation,2023-03-20,,0,,
S92000003,Scotland,nation,2023-03-19,,0,,
S92000003,Scotland,nation,2023-03-18,,0,,
S92000003,Scotland,nation,2023-03-17,,0,,
S92000003,Scotland,nation,2023-03-16,,0,,
S92000003,Scotland,nation,2023-03-15,,0,,
S92000003,Scotland,nation,2023-03-14,,0,,
S92000003,Scotland,nation,2023-03-13,,0,,
S92000003,Scotland,nation,2023-03-12,,0,,
S92000003,Scotland,nation,2023-03-11,,0,,
S92000003,Scotland,nation,2023-03-10,,0,,
S92000003,Scotland,nation,2023-03-09,,1917,,
S92000003,Scotland,nation,2023-03-08,,0,,
S92000003,Scotland,nation,2023-03-07,,0,,
S92000003,Scotland,nation,2023-03-06,,0,,
S92000003,Scotland,nation,2023-03-05,,0,,
S92000003,Scotland,nation,2023-03-04,,0,,
S92000003,Scotland,nation,2023-03-03,,0,,
S92000003,Scotland,nation,2023-03-02,,1733,,
S92000003,Scotland,nation,2023-03-01,,0,,
