areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000008,South East,region,2023-04-13,2273,,,
E12000008,South East,region,2023-04-12,0,,0,-506
E12000008,South East,region,2023-04-11,0,,29,-34
E12000008,South East,region,2023-04-10,0,8,0,-75
E12000008,South East,region,2023-04-09,0,4,0,-1076
E12000008,South East,region,2023-04-08,0,5,0,0
E12000008,South East,region,2023-04-07,0,8,0,0
E12000008,South East,region,2023-04-06,2921,15,16,-119
E12000008,South East,region,2023-04-05,0,17,0,-222
E12000008,South East,region,2023-04-04,0,11,0,-127
E12000008,South East,region,2023-04-03,0,10,60,-26
E12000008,South East,region,2023-04-02,0,10,0,-799
E12000008,South East,region,2023-04-01,0,16,0,0
E12000008,South East,region,2023-03-31,0,17,0,0
E12000008,South East,region,2023-03-30,4456,22,0,-315
E12000008,South East,region,2023-03-29,0,10,0,-208
E12000008,South East,region,2023-03-28,0,13,0,-585
E12000008,South East,region,2023-03-27,0,16,0,-106
E12000008,South East,region,2023-03-26,0,17,0,-761
E12000008,South East,region,2023-03-25,0,17,0,0
E12000008,South East,region,2023-03-24,0,19,0,0
E12000008,South East,region,2023-03-23,5328,15,0,-340
E12000008,South East,region,2023-03-22,0,12,0,-397
E12000008,South East,region,2023-03-21,0,18,0,-575
E12000008,South East,region,2023-03-20,0,15,0,0
E12000008,South East,region,2023-03-19,0,21,0,-1635
E12000008,South East,region,2023-03-18,0,15,0,0
E12000008,South East,region,2023-03-17,0,17,0,0
E12000008,South East,region,2023-03-16,5485,18,0,0
E12000008,South East,region,2023-03-15,0,19,0,0
E12000008,South East,region,2023-03-14,0,23,0,-419
E12000008,South East,region,2023-03-13,0,16,0,-107
E12000008,South East,region,2023-03-12,0,21,0,-783
E12000008,South East,region,2023-03-11,0,10,0,0
E12000008,South East,region,2023-03-10,0,13,0,0
E12000008,South East,region,2023-03-09,4572,15,0,-434
E12000008,South East,region,2023-03-08,0,20,0,-310
E12000008,South East,region,2023-03-07,0,20,0,-512
E12000008,South East,region,2023-03-06,0,14,0,-98
E12000008,South East,region,2023-03-05,0,28,0,-653
E12000008,South East,region,2023-03-04,0,27,0,0
E12000008,South East,region,2023-03-03,0,20,0,0
E12000008,South East,region,2023-03-02,4104,18,0,-378
E12000008,South East,region,2023-03-01,0,17,0,-384
E12000008,South East,region,2023-02-28,0,14,0,-311
E12000008,South East,region,2023-02-27,0,17,0,-123
E12000008,South East,region,2023-02-26,0,17,0,-883
E12000008,South East,region,2023-02-25,0,16,0,0
E12000008,South East,region,2023-02-24,0,18,0,0
E12000008,South East,region,2023-02-23,4942,13,0,-358
E12000008,South East,region,2023-02-22,0,23,0,-222
E12000008,South East,region,2023-02-21,0,16,0,-588
E12000008,South East,region,2023-02-20,0,6,0,0
E12000008,South East,region,2023-02-19,0,15,0,-765
E12000008,South East,region,2023-02-18,0,16,0,0
E12000008,South East,region,2023-02-17,0,13,0,0
E12000008,South East,region,2023-02-16,4350,18,0,-407
E12000008,South East,region,2023-02-15,0,8,0,-267
E12000008,South East,region,2023-02-14,0,9,0,-399
E12000008,South East,region,2023-02-13,0,16,0,-111
E12000008,South East,region,2023-02-12,0,17,0,426
E12000008,South East,region,2023-02-11,0,11,0,0
E12000008,South East,region,2023-02-10,0,11,0,0
E12000008,South East,region,2023-02-09,3562,11,0,-573
E12000008,South East,region,2023-02-08,0,12,0,0
E12000008,South East,region,2023-02-07,0,10,0,0
E12000008,South East,region,2023-02-06,0,6,0,0
E12000008,South East,region,2023-02-05,0,14,0,0
E12000008,South East,region,2023-02-04,0,15,0,0
E12000008,South East,region,2023-02-03,0,19,0,0
E12000008,South East,region,2023-02-02,3105,13,0,-157
E12000008,South East,region,2023-02-01,0,14,0,-172
E12000008,South East,region,2023-01-31,0,13,0,-384
E12000008,South East,region,2023-01-30,0,12,44,55
E12000008,South East,region,2023-01-29,0,9,0,-306
E12000008,South East,region,2023-01-28,0,10,0,0
E12000008,South East,region,2023-01-27,0,7,0,0
E12000008,South East,region,2023-01-26,2247,21,0,-98
E12000008,South East,region,2023-01-25,0,15,0,-192
E12000008,South East,region,2023-01-24,0,20,0,-378
E12000008,South East,region,2023-01-23,0,16,25,30
E12000008,South East,region,2023-01-22,0,14,0,-510
E12000008,South East,region,2023-01-21,0,17,0,0
E12000008,South East,region,2023-01-20,0,19,0,0
E12000008,South East,region,2023-01-19,2091,20,0,-274
E12000008,South East,region,2023-01-18,0,19,0,-180
E12000008,South East,region,2023-01-17,0,10,0,-292
E12000008,South East,region,2023-01-16,0,16,28,6
E12000008,South East,region,2023-01-15,0,23,0,-823
E12000008,South East,region,2023-01-14,0,15,0,0
E12000008,South East,region,2023-01-13,0,13,0,0
E12000008,South East,region,2023-01-12,3887,23,136,125
E12000008,South East,region,2023-01-11,0,17,0,-182
E12000008,South East,region,2023-01-10,0,30,0,-287
E12000008,South East,region,2023-01-09,0,18,42,52
E12000008,South East,region,2023-01-08,0,26,0,-1361
E12000008,South East,region,2023-01-07,0,26,0,0
E12000008,South East,region,2023-01-06,0,22,0,0
E12000008,South East,region,2023-01-05,6569,20,0,-107
E12000008,South East,region,2023-01-04,0,18,0,0
E12000008,South East,region,2023-01-03,0,28,0,-715
E12000008,South East,region,2023-01-02,0,18,0,0
E12000008,South East,region,2023-01-01,0,26,0,0
E12000008,South East,region,2022-12-31,0,30,0,0
E12000008,South East,region,2022-12-30,0,25,0,0
E12000008,South East,region,2022-12-29,6972,25,0,-634
E12000008,South East,region,2022-12-28,0,26,78,70
E12000008,South East,region,2022-12-27,0,17,0,-41
E12000008,South East,region,2022-12-26,0,22,0,-165
E12000008,South East,region,2022-12-25,0,17,0,-750
E12000008,South East,region,2022-12-24,0,21,0,0
E12000008,South East,region,2022-12-23,0,18,0,0
E12000008,South East,region,2022-12-22,8278,13,0,-345
E12000008,South East,region,2022-12-21,0,22,0,-910
E12000008,South East,region,2022-12-20,0,22,0,0
E12000008,South East,region,2022-12-19,0,17,0,0
E12000008,South East,region,2022-12-18,0,17,0,0
E12000008,South East,region,2022-12-17,0,20,0,0
E12000008,South East,region,2022-12-16,0,22,0,0
E12000008,South East,region,2022-12-15,6150,11,0,0
E12000008,South East,region,2022-12-14,0,13,14399,11932
E12000008,South East,region,2022-12-13,0,14,0,0
E12000008,South East,region,2022-12-12,0,19,0,0
E12000008,South East,region,2022-12-11,0,12,0,0
E12000008,South East,region,2022-12-10,0,13,0,0
E12000008,South East,region,2022-12-09,0,14,0,0
E12000008,South East,region,2022-12-08,4736,11,0,0
E12000008,South East,region,2022-12-07,0,13,0,-97
E12000008,South East,region,2022-12-06,0,11,0,-35
E12000008,South East,region,2022-12-05,0,7,0,-28
E12000008,South East,region,2022-12-04,0,11,0,0
E12000008,South East,region,2022-12-03,0,9,0,0
E12000008,South East,region,2022-12-02,0,14,0,0
E12000008,South East,region,2022-12-01,3914,8,0,0
E12000008,South East,region,2022-11-30,0,9,0,999
E12000008,South East,region,2022-11-29,0,10,0,0
E12000008,South East,region,2022-11-28,0,9,0,0
E12000008,South East,region,2022-11-27,0,5,0,0
E12000008,South East,region,2022-11-26,0,11,0,0
E12000008,South East,region,2022-11-25,0,4,0,0
E12000008,South East,region,2022-11-24,3441,16,0,0
E12000008,South East,region,2022-11-23,0,8,0,1716
E12000008,South East,region,2022-11-22,0,10,0,0
E12000008,South East,region,2022-11-21,0,7,0,0
E12000008,South East,region,2022-11-20,0,14,0,0
E12000008,South East,region,2022-11-19,0,7,0,0
E12000008,South East,region,2022-11-18,0,11,0,0
E12000008,South East,region,2022-11-17,3621,8,0,0
E12000008,South East,region,2022-11-16,0,11,0,2325
E12000008,South East,region,2022-11-15,0,11,0,0
E12000008,South East,region,2022-11-14,0,13,0,0
E12000008,South East,region,2022-11-13,0,15,0,0
E12000008,South East,region,2022-11-12,0,10,0,0
E12000008,South East,region,2022-11-11,0,10,0,0
E12000008,South East,region,2022-11-10,3547,13,0,0
E12000008,South East,region,2022-11-09,0,11,0,2265
E12000008,South East,region,2022-11-08,0,10,0,0
E12000008,South East,region,2022-11-07,0,17,0,0
E12000008,South East,region,2022-11-06,0,12,0,0
E12000008,South East,region,2022-11-05,0,18,0,0
E12000008,South East,region,2022-11-04,0,15,0,0
E12000008,South East,region,2022-11-03,4754,12,0,0
E12000008,South East,region,2022-11-02,0,14,0,2780
E12000008,South East,region,2022-11-01,0,10,0,0
E12000008,South East,region,2022-10-31,0,17,0,0
E12000008,South East,region,2022-10-30,0,17,0,0
E12000008,South East,region,2022-10-29,0,27,0,0
E12000008,South East,region,2022-10-28,0,18,0,0
E12000008,South East,region,2022-10-27,6755,22,0,0
E12000008,South East,region,2022-10-26,0,7,0,3844
E12000008,South East,region,2022-10-25,0,27,0,0
E12000008,South East,region,2022-10-24,0,23,0,0
E12000008,South East,region,2022-10-23,0,20,0,0
E12000008,South East,region,2022-10-22,0,18,0,0
E12000008,South East,region,2022-10-21,0,35,0,0
E12000008,South East,region,2022-10-20,9813,30,0,0
E12000008,South East,region,2022-10-19,0,23,0,3315
E12000008,South East,region,2022-10-18,0,25,0,0
E12000008,South East,region,2022-10-17,0,25,0,0
E12000008,South East,region,2022-10-16,0,29,0,0
E12000008,South East,region,2022-10-15,0,23,0,0
E12000008,South East,region,2022-10-14,0,24,0,0
E12000008,South East,region,2022-10-13,10913,18,0,0
E12000008,South East,region,2022-10-12,0,27,0,1368
E12000008,South East,region,2022-10-11,0,17,0,0
E12000008,South East,region,2022-10-10,0,21,0,0
E12000008,South East,region,2022-10-09,0,17,0,0
E12000008,South East,region,2022-10-08,0,12,0,0
E12000008,South East,region,2022-10-07,0,15,0,0
E12000008,South East,region,2022-10-06,10795,16,0,0
E12000008,South East,region,2022-10-05,0,22,0,2139
E12000008,South East,region,2022-10-04,0,22,0,0
E12000008,South East,region,2022-10-03,0,15,0,0
E12000008,South East,region,2022-10-02,0,12,0,0
E12000008,South East,region,2022-10-01,0,8,0,0
E12000008,South East,region,2022-09-30,0,12,0,0
E12000008,South East,region,2022-09-29,8613,8,0,0
E12000008,South East,region,2022-09-28,0,15,0,569
E12000008,South East,region,2022-09-27,0,7,0,0
E12000008,South East,region,2022-09-26,0,11,0,0
E12000008,South East,region,2022-09-25,0,7,0,0
E12000008,South East,region,2022-09-24,0,5,0,0
E12000008,South East,region,2022-09-23,0,8,0,0
E12000008,South East,region,2022-09-22,5985,7,0,0
E12000008,South East,region,2022-09-21,0,7,0,1192
E12000008,South East,region,2022-09-20,0,6,0,0
E12000008,South East,region,2022-09-19,0,10,0,0
E12000008,South East,region,2022-09-18,0,6,0,0
E12000008,South East,region,2022-09-17,0,4,0,0
E12000008,South East,region,2022-09-16,0,8,0,0
E12000008,South East,region,2022-09-15,4780,13,0,0
E12000008,South East,region,2022-09-14,0,5,0,36
E12000008,South East,region,2022-09-13,0,12,0,0
E12000008,South East,region,2022-09-12,0,3,0,0
E12000008,South East,region,2022-09-11,0,7,0,0
E12000008,South East,region,2022-09-10,0,8,0,0
E12000008,South East,region,2022-09-09,0,6,0,0
E12000008,South East,region,2022-09-08,4828,10,0,0
E12000008,South East,region,2022-09-07,0,9,0,636
E12000008,South East,region,2022-09-06,0,8,0,0
E12000008,South East,region,2022-09-05,0,6,0,0
E12000008,South East,region,2022-09-04,0,15,0,0
E12000008,South East,region,2022-09-03,0,7,0,0
E12000008,South East,region,2022-09-02,0,13,0,0
E12000008,South East,region,2022-09-01,0,7,0,0
E12000008,South East,region,2022-08-31,4327,15,0,0
E12000008,South East,region,2022-08-30,0,4,1004,1623
E12000008,South East,region,2022-08-29,0,8,0,0
E12000008,South East,region,2022-08-28,0,15,0,0
E12000008,South East,region,2022-08-27,0,5,0,0
E12000008,South East,region,2022-08-26,0,7,0,0
