areaCode,areaName,areaType,date,changeInNewDeaths28DaysByDeathDate,newCasesByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
W92000004,Wales,nation,2023-04-13,,330,,
W92000004,Wales,nation,2023-04-12,,0,,
W92000004,Wales,nation,2023-04-11,,0,,
W92000004,Wales,nation,2023-04-10,,0,,
W92000004,Wales,nation,2023-04-09,,0,,
W92000004,Wales,nation,2023-04-08,,0,,
W92000004,Wales,nation,2023-04-07,,0,,
W92000004,Wales,nation,2023-04-06,,435,,
W92000004,Wales,nation,2023-04-05,,0,,
W92000004,Wales,nation,2023-04-04,,0,,
W92000004,Wales,nation,2023-04-03,,0,,
W92000004,Wales,nation,2023-04-02,,0,,
W92000004,Wales,nation,2023-04-01,,0,,
W92000004,Wales,nation,2023-03-31,,0,,
W92000004,Wales,nation,2023-03-30,,475,,
W92000004,Wales,nation,2023-03-29,,0,18,48
W92000004,Wales,nation,2023-03-28,,0,13,38
W92000004,Wales,nation,2023-03-27,,0,12,123
W92000004,Wales,nation,2023-03-26,,0,2,0
W92000004,Wales,nation,2023-03-25,,0,29,55
W92000004,Wales,nation,2023-03-24,,0,20,181
W92000004,Wales,nation,2023-03-23,,585,6,150
W92000004,Wales,nation,2023-03-22,,0,20,111
W92000004,Wales,nation,2023-03-21,,0,23,67
W92000004,Wales,nation,2023-03-20,,0,13,53
W92000004,Wales,nation,2023-03-19,,0,10,2
W92000004,Wales,nation,2023-03-18,,0,73,30
W92000004,Wales,nation,2023-03-17,,0,12,93
W92000004,Wales,nation,2023-03-16,,704,0,-77
W92000004,Wales,nation,2023-03-15,,0,0,78
W92000004,Wales,nation,2023-03-14,,0,25,41
W92000004,Wales,nation,2023-03-13,,0,92,66
W92000004,Wales,nation,2023-03-12,,0,43,2
W92000004,Wales,nation,2023-03-11,,0,46,86
W92000004,Wales,nation,2023-03-10,,0,9,193
W92000004,Wales,nation,2023-03-09,,577,12,223
W92000004,Wales,nation,2023-03-08,,0,27,74
W92000004,Wales,nation,2023-03-07,,0,62,60
W92000004,Wales,nation,2023-03-06,,0,122,62
W92000004,Wales,nation,2023-03-05,,0,20,5
W92000004,Wales,nation,2023-03-04,,0,33,26
W92000004,Wales,nation,2023-03-03,,0,4,15
W92000004,Wales,nation,2023-03-02,,428,60,26
W92000004,Wales,nation,2023-03-01,,0,105,7
W92000004,Wales,nation,2023-02-28,,0,51,4
W92000004,Wales,nation,2023-02-27,,0,15,4
W92000004,Wales,nation,2023-02-26,,0,92,4
W92000004,Wales,nation,2023-02-25,,0,41,14
W92000004,Wales,nation,2023-02-24,,0,63,27
W92000004,Wales,nation,2023-02-23,,477,2,16
W92000004,Wales,nation,2023-02-22,,0,162,10
W92000004,Wales,nation,2023-02-21,,0,102,13
W92000004,Wales,nation,2023-02-20,,0,170,11
W92000004,Wales,nation,2023-02-19,,0,90,16
W92000004,Wales,nation,2023-02-18,,0,63,30
W92000004,Wales,nation,2023-02-17,,0,20,5
W92000004,Wales,nation,2023-02-16,,372,41,170
W92000004,Wales,nation,2023-02-15,,0,441,95
W92000004,Wales,nation,2023-02-14,,0,0,1
W92000004,Wales,nation,2023-02-13,,0,0,4
W92000004,Wales,nation,2023-02-12,,0,0,2
W92000004,Wales,nation,2023-02-11,,0,0,1
