areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
E12000005,West Midlands,region,2023-04-13,2142,,,
E12000005,West Midlands,region,2023-04-12,0,,0,-356
E12000005,West Midlands,region,2023-04-11,0,,1,-35
E12000005,West Midlands,region,2023-04-10,0,5,0,-77
E12000005,West Midlands,region,2023-04-09,0,5,0,-587
E12000005,West Midlands,region,2023-04-08,0,5,0,0
E12000005,West Midlands,region,2023-04-07,0,5,0,0
E12000005,West Midlands,region,2023-04-06,1845,9,0,-172
E12000005,West Midlands,region,2023-04-05,0,8,0,-184
E12000005,West Midlands,region,2023-04-04,0,9,0,-156
E12000005,West Midlands,region,2023-04-03,0,6,9,-35
E12000005,West Midlands,region,2023-04-02,0,9,0,-412
E12000005,West Midlands,region,2023-04-01,0,15,0,0
E12000005,West Midlands,region,2023-03-31,0,9,0,0
E12000005,West Midlands,region,2023-03-30,2549,8,0,-252
E12000005,West Midlands,region,2023-03-29,0,8,0,-181
E12000005,West Midlands,region,2023-03-28,0,9,0,-335
E12000005,West Midlands,region,2023-03-27,0,13,0,-54
E12000005,West Midlands,region,2023-03-26,0,11,0,-593
E12000005,West Midlands,region,2023-03-25,0,9,0,0
E12000005,West Midlands,region,2023-03-24,0,10,0,0
E12000005,West Midlands,region,2023-03-23,2947,16,0,-224
E12000005,West Midlands,region,2023-03-22,0,14,0,-218
E12000005,West Midlands,region,2023-03-21,0,16,0,-359
E12000005,West Midlands,region,2023-03-20,0,15,0,0
E12000005,West Midlands,region,2023-03-19,0,19,0,-1004
E12000005,West Midlands,region,2023-03-18,0,9,0,0
E12000005,West Midlands,region,2023-03-17,0,17,0,0
E12000005,West Midlands,region,2023-03-16,2892,18,0,0
E12000005,West Midlands,region,2023-03-15,0,14,0,0
E12000005,West Midlands,region,2023-03-14,0,8,0,-300
E12000005,West Midlands,region,2023-03-13,0,13,0,-55
E12000005,West Midlands,region,2023-03-12,0,13,0,-477
E12000005,West Midlands,region,2023-03-11,0,11,0,0
E12000005,West Midlands,region,2023-03-10,0,14,0,0
E12000005,West Midlands,region,2023-03-09,2411,9,0,-238
E12000005,West Midlands,region,2023-03-08,0,17,0,-172
E12000005,West Midlands,region,2023-03-07,0,8,0,-262
E12000005,West Midlands,region,2023-03-06,0,12,0,-34
E12000005,West Midlands,region,2023-03-05,0,9,0,-543
E12000005,West Midlands,region,2023-03-04,0,14,0,0
E12000005,West Midlands,region,2023-03-03,0,19,0,0
E12000005,West Midlands,region,2023-03-02,2272,10,0,-206
E12000005,West Midlands,region,2023-03-01,0,11,0,-209
E12000005,West Midlands,region,2023-02-28,0,13,0,-225
E12000005,West Midlands,region,2023-02-27,0,13,0,-34
E12000005,West Midlands,region,2023-02-26,0,12,0,-472
E12000005,West Midlands,region,2023-02-25,0,12,0,0
E12000005,West Midlands,region,2023-02-24,0,16,0,0
E12000005,West Midlands,region,2023-02-23,2340,10,0,-227
E12000005,West Midlands,region,2023-02-22,0,9,0,-275
E12000005,West Midlands,region,2023-02-21,0,7,0,-281
E12000005,West Midlands,region,2023-02-20,0,13,0,0
E12000005,West Midlands,region,2023-02-19,0,13,0,-518
E12000005,West Midlands,region,2023-02-18,0,8,0,0
E12000005,West Midlands,region,2023-02-17,0,12,0,0
E12000005,West Midlands,region,2023-02-16,2454,7,0,-279
E12000005,West Midlands,region,2023-02-15,0,10,0,-190
E12000005,West Midlands,region,2023-02-14,0,14,0,-312
E12000005,West Midlands,region,2023-02-13,0,11,0,-45
E12000005,West Midlands,region,2023-02-12,0,15,0,-181
E12000005,West Midlands,region,2023-02-11,0,12,0,0
E12000005,West Midlands,region,2023-02-10,0,13,0,0
E12000005,West Midlands,region,2023-02-09,1966,12,0,-501
E12000005,West Midlands,region,2023-02-08,0,14,0,0
E12000005,West Midlands,region,2023-02-07,0,15,0,0
E12000005,West Midlands,region,2023-02-06,0,10,0,0
E12000005,West Midlands,region,2023-02-05,0,12,0,0
E12000005,West Midlands,region,2023-02-04,0,6,0,0
E12000005,West Midlands,region,2023-02-03,0,9,0,0
E12000005,West Midlands,region,2023-02-02,1748,14,0,-196
E12000005,West Midlands,region,2023-02-01,0,10,0,-111
E12000005,West Midlands,region,2023-01-31,0,16,0,-308
E12000005,West Midlands,region,2023-01-30,0,14,0,-77
E12000005,West Midlands,region,2023-01-29,0,7,0,-381
E12000005,West Midlands,region,2023-01-28,0,9,0,0
E12000005,West Midlands,region,2023-01-27,0,13,0,0
E12000005,West Midlands,region,2023-01-26,1595,9,0,-120
E12000005,West Midlands,region,2023-01-25,0,8,0,-165
E12000005,West Midlands,region,2023-01-24,0,16,0,-271
E12000005,West Midlands,region,2023-01-23,0,13,0,-19
E12000005,West Midlands,region,2023-01-22,0,16,0,-519
E12000005,West Midlands,region,2023-01-21,0,15,0,0
E12000005,West Midlands,region,2023-01-20,0,15,0,0
E12000005,West Midlands,region,2023-01-19,1546,18,0,-310
E12000005,West Midlands,region,2023-01-18,0,8,0,-149
E12000005,West Midlands,region,2023-01-17,0,15,0,-335
E12000005,West Midlands,region,2023-01-16,0,17,40,53
E12000005,West Midlands,region,2023-01-15,0,16,0,-898
E12000005,West Midlands,region,2023-01-14,0,12,0,0
E12000005,West Midlands,region,2023-01-13,0,14,0,0
E12000005,West Midlands,region,2023-01-12,2613,21,54,26
E12000005,West Midlands,region,2023-01-11,0,22,0,-167
E12000005,West Midlands,region,2023-01-10,0,18,0,-404
E12000005,West Midlands,region,2023-01-09,0,21,7,29
E12000005,West Midlands,region,2023-01-08,0,18,0,-903
E12000005,West Midlands,region,2023-01-07,0,19,0,0
E12000005,West Midlands,region,2023-01-06,0,20,0,0
E12000005,West Midlands,region,2023-01-05,3755,25,0,-213
E12000005,West Midlands,region,2023-01-04,0,20,0,0
E12000005,West Midlands,region,2023-01-03,0,17,0,-702
E12000005,West Midlands,region,2023-01-02,0,16,0,0
E12000005,West Midlands,region,2023-01-01,0,18,0,0
E12000005,West Midlands,region,2022-12-31,0,17,0,0
E12000005,West Midlands,region,2022-12-30,0,21,0,0
E12000005,West Midlands,region,2022-12-29,3641,10,0,-462
E12000005,West Midlands,region,2022-12-28,0,16,57,70
E12000005,West Midlands,region,2022-12-27,0,23,0,-51
E12000005,West Midlands,region,2022-12-26,0,20,0,-94
E12000005,West Midlands,region,2022-12-25,0,15,0,-526
E12000005,West Midlands,region,2022-12-24,0,22,0,0
E12000005,West Midlands,region,2022-12-23,0,11,0,0
E12000005,West Midlands,region,2022-12-22,3981,15,0,-164
E12000005,West Midlands,region,2022-12-21,0,15,0,-848
E12000005,West Midlands,region,2022-12-20,0,14,0,0
E12000005,West Midlands,region,2022-12-19,0,13,0,0
E12000005,West Midlands,region,2022-12-18,0,10,0,0
E12000005,West Midlands,region,2022-12-17,0,16,0,0
E12000005,West Midlands,region,2022-12-16,0,10,0,0
E12000005,West Midlands,region,2022-12-15,3210,9,0,0
E12000005,West Midlands,region,2022-12-14,0,7,6942,5584
E12000005,West Midlands,region,2022-12-13,0,9,0,0
E12000005,West Midlands,region,2022-12-12,0,8,0,0
E12000005,West Midlands,region,2022-12-11,0,11,0,0
E12000005,West Midlands,region,2022-12-10,0,8,0,0
E12000005,West Midlands,region,2022-12-09,0,14,0,0
E12000005,West Midlands,region,2022-12-08,2585,11,0,0
E12000005,West Midlands,region,2022-12-07,0,11,0,-210
